,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
0,ec154872-82e2-4ea6-9dc7-10f196476f5a,RANKED_SOLO_5x5,DIAMOND,III,rGkDSUEMmOUaKtZE12zo2XCk_jRPwNMhSw2aE8GtTpNwFM0,돔어스탈,15,64,48,False,False,False,False,
1,fdea4f28-824f-401b-aec8-e239e56d3ce1,RANKED_SOLO_5x5,DIAMOND,III,jADlSf5aRs_61lWK9U3zAG6-mHd3SqW0nW5nBW5LYKcALbU,오정팔,0,70,66,False,False,False,False,
2,65f2fcc5-0543-4d33-bddf-3dc1bf2a025e,RANKED_SOLO_5x5,DIAMOND,III,pfN8xNNIIlAzFb0V9G12P-ORQOiLavRBqiMx9ZHJkYSSuUQ,piyaaaa,53,319,338,False,False,False,False,
3,fc80588f-e803-4312-b69a-6f10aaa69967,RANKED_SOLO_5x5,DIAMOND,III,6F-1xE5x1uoC-GxGZeu1Nu_WDwxK9X0mZuu5M6ADbZ-Fmws,부처멘탈이로다,46,135,89,False,False,False,False,
4,e1b62197-9c55-469a-9646-a06bcea11431,RANKED_SOLO_5x5,DIAMOND,III,fY1TVnFn0YNraX6xeLXkN5c7nMCSJXD07jfSPAntuWYbtak,CLASH OF GAMES,19,100,117,False,False,False,True,
5,1fb621c3-b855-44c9-9efb-bd2c5a36e2ae,RANKED_SOLO_5x5,DIAMOND,III,N96P29ndq26v7fxZsAlSlG-xfvVgV5eJkoZefV8QGqBRCxs,칼기상 ,11,267,256,False,False,False,False,
6,37973505-df45-4a85-8187-32660a5002f6,RANKED_SOLO_5x5,DIAMOND,III,TArdSqfKUX2IGuKdXhvqkbNX4louN_h2aGCzKamx-XiU1dE,지환아 기다려,100,199,185,False,False,False,True,"{'target': 2, 'wins': 0, 'losses': 0, 'progress': 'NNN'}"
7,61f9b472-c9a5-4630-8d28-9827691e435e,RANKED_SOLO_5x5,DIAMOND,III,iRWtUGTRlC-JvneRCIxosXH-q8AmdCeYo7CKqJXBO3Lm5bM,Gimpo AD,20,246,252,False,False,False,True,
8,8ea4287b-4fb0-4d0c-b2bf-14f22fdb0cf7,RANKED_SOLO_5x5,DIAMOND,III,5q4egxZQ7k5TR5KTnkF0d81t-bLYlaqUk4lAlJP2FkeRoic,친삼촌,84,173,155,False,False,False,True,
9,e7aefa76-e905-46c3-b32a-87f71fa75bbf,RANKED_SOLO_5x5,DIAMOND,III,y1Vsu86Vo-iHMncD-eq79B3gBq1D16wQbxp9ZfoBia9lyvQ,너무너무착한사람,100,179,179,False,False,False,False,"{'target': 2, 'wins': 0, 'losses': 1, 'progress': 'LNN'}"
10,66b36f04-2975-450e-9699-3dc4456a0957,RANKED_SOLO_5x5,DIAMOND,III,qUXWjqo2ub1b_7hFgesP-XY57JRkIgTO1q_tc6p1qxY0hrE,너무매려워,0,175,142,False,False,False,False,
11,693b5d89-e1b1-4a18-a069-bc03849924e0,RANKED_SOLO_5x5,DIAMOND,III,LJEX3XLSIAMGdawArqjIkqBCI-Dz9esESCr07ywT_q0DYeI,서 연 준,43,130,117,False,False,False,False,
12,dd5ef64d-a91e-4f37-b1f0-2750848d3053,RANKED_SOLO_5x5,DIAMOND,III,ieTLsqJe7iPH57lN-FC9HW8ea1BBMY-CiQCrP0_7XempKII,알리장인박저엊소,37,29,10,False,False,False,True,
13,ce55b917-f133-4a53-829e-a6957c13fbf7,RANKED_SOLO_5x5,DIAMOND,III,BssRr4g2odJRowb9ElENObSaJpQ851e7eyIdXzpc-l4sfvU,섶호터,35,96,98,False,False,False,False,
14,29ae81bf-b94d-47b3-8d2c-2d80ee2e787f,RANKED_SOLO_5x5,DIAMOND,III,6LX3Ptj5Va0YlDUoaj6njpOuIQHLwevQpjWTcWlnN33vLeg,본 1  ,16,95,88,False,False,False,False,
15,4f6b7ba0-f815-4554-97a6-47e0ee3fbd3e,RANKED_SOLO_5x5,DIAMOND,III,eShYrNs4I5kgvv-xx9yT-bkgbrG7-vFatdSWiaIL6uf9a7o,북두의권 전생,39,126,95,False,False,False,False,
16,11f93d49-cb5f-4777-9626-00701a9aa772,RANKED_SOLO_5x5,DIAMOND,III,t3IejvKiA9-i7y89tbZamI3rdmkFcOVl3zq1UaYYfq3oyxg,buk,8,101,111,False,False,False,False,
17,dc0b7a31-210c-482a-9f3b-5cf69624dc36,RANKED_SOLO_5x5,DIAMOND,III,avjr3JdvICOD8dIp_E_oH7V25wsf601IJpAfN1MEQqf73bo,대충 고수같은 닉,18,203,179,False,False,False,False,
18,9af92c7a-961d-442a-9a9e-45d20dd9dacb,RANKED_SOLO_5x5,DIAMOND,III,zhiN9UmFF1sZgRz-wpc2CB29HR1Uj7NO6FVcAF5MqrU7jPc,아무렇게나하자,41,417,359,False,False,False,False,
19,e7aefa76-e905-46c3-b32a-87f71fa75bbf,RANKED_SOLO_5x5,DIAMOND,III,iHYlW92J7NaysLm_LCrlPDJvD_BYfTK4DCQxK-XDGaEg8fo,에이월,52,63,57,False,False,False,False,
20,c2ea4876-37aa-4ab4-b156-8ccbc6fd6fed,RANKED_SOLO_5x5,DIAMOND,III,pplEvqTDyYpXUKnwyFRh4GqWS_L5df0OCh2sBK8d2op93p8,신나는 노래,42,118,102,False,False,False,False,
21,4c589b04-3100-409b-b165-d891bc97a94c,RANKED_SOLO_5x5,DIAMOND,III,yIqoydemPxkZAFAcSpuMmIbQpLpfZZEH_oRH2zD-iA2WjzY,누누십니까,53,41,36,False,False,False,True,
22,ce55b917-f133-4a53-829e-a6957c13fbf7,RANKED_SOLO_5x5,DIAMOND,III,cyziiRJox1JbwUyVhNQ633toE3b9riEQzi5-_9bH8Jr7XNQ,Milkisblanco,0,47,53,False,False,False,False,
23,a30806d1-825d-415d-b260-c57e043ed11b,RANKED_SOLO_5x5,DIAMOND,III,pXm0b_fpFxKoemyVxP6Q_eAMA2-PxaKlVBs4PBmkomZ4eFQ,Score,75,60,51,False,False,False,False,
24,15a91e50-d10e-4109-af43-836a7f266e27,RANKED_SOLO_5x5,DIAMOND,III,O9Qa_gGQOoJzraOFUydKNykc562XZwf1i2AVhqSII1zStV0,버스타는평타싸개,22,229,222,False,False,False,False,
25,9bdd2ae5-4db4-4cb4-bf51-bc17b608432f,RANKED_SOLO_5x5,DIAMOND,III,mnOiXx9bNUTikcZ9aPRD4X0pK_VXBBz8rEU9RFKEAemZytg,990619,10,134,129,False,False,False,False,
26,a2c15676-f33e-41e3-8734-dc68595128b0,RANKED_SOLO_5x5,DIAMOND,III,-Q7fXnmLmeEsFNBKwrlTXNR9ZDKvRv48cMIp31tVjxGDFQw,종토리,0,194,209,False,False,False,False,
27,68ed283e-3bac-435d-8c75-203390524a7f,RANKED_SOLO_5x5,DIAMOND,III,lEUpOXxaUQfbZkU_lID_RlhUpwumIsKBSJxm6NC8rnTv0Yc,입자속옷야쓰,14,226,199,False,False,False,False,
28,502feb55-ce2a-4dd8-80a0-1993b9b9f912,RANKED_SOLO_5x5,DIAMOND,III,RuAEndMvScPUVL2vYNcHV3Tp_x_ZfzgIh6na_lWe-Cw5NM8,김차장개전년,28,76,63,False,False,False,False,
29,88921047-8aba-4c2f-9600-7fb727030b67,RANKED_SOLO_5x5,DIAMOND,III,_xSxagaktSJ_DnK7AI3VR7O-BqlcgaizWxDq7gj_x5miyEs,또 야,43,189,183,False,False,False,False,
30,b5e0dae4-b266-406c-be0b-bbe64205c356,RANKED_SOLO_5x5,DIAMOND,III,FKZuinWJix5bdvGE2XhFAsYGYtUe_qQiSKSPnuiG96zwruc,뿌 냥,0,114,109,False,False,False,False,
31,2c91efe1-e3a1-4ac9-8289-55a9bcfbad7a,RANKED_SOLO_5x5,DIAMOND,III,g8zpwiGIBedXfwGxMu0ZojQF21ENFAG01j1AzI5RBX8t7H8,Futbol Salon,25,154,121,False,False,False,False,
32,d9097ffb-7f90-4c8f-b322-882534450d75,RANKED_SOLO_5x5,DIAMOND,III,oO5jbKdujCl8bc2SdEpHQ2r2hnSy-oqOKq1mE6_vyAy0t88,보고싶다 너무,19,52,38,False,False,False,False,
33,55da7690-fe48-4b69-8b19-9a3a8bec5169,RANKED_SOLO_5x5,DIAMOND,III,gqByDAkLyn2q6dN5O646yvFtTdydN3E11DsK5tc7ZgMhh20,현승리,37,47,39,False,False,False,False,
34,2f215a50-13fc-441f-a113-fe145ce83e1f,RANKED_SOLO_5x5,DIAMOND,III,E1aYZj1PMAUYjhS1iTd69jsTVM-ZT6mXP2WCWD5u4VMAtks,500원1000원딱풀,28,86,59,False,False,False,False,
35,fc80588f-e803-4312-b69a-6f10aaa69967,RANKED_SOLO_5x5,DIAMOND,III,UvDbhhUDulsmh9XM53ghNxObvS8q8ZRr2Gl925fzeFjr4P4,정말쩔어쩔어,9,80,61,False,False,False,False,
36,af4b8a4f-d8d2-4c55-9e52-fe4be7f4b969,RANKED_SOLO_5x5,DIAMOND,III,_83o4a_DyKHX_1iXSothVKAGDJVSnHFRlxRAAxqrvwvUc4M,언제갈까나,0,99,89,False,False,False,False,
37,5959a8c6-9b8d-4599-ab25-3bda8115951d,RANKED_SOLO_5x5,DIAMOND,III,-Dp4ke30_mbizfRjaYdRO0d_2JxEUFufVqqSkGkhKEdjeSA,really momboom,0,151,135,False,False,False,False,
38,9dcd9d06-76d2-4cd7-a027-fbc0722e83d2,RANKED_SOLO_5x5,DIAMOND,III,VaN0h3bUg2lRMpXHnzHbwtSp11qz5QpMccq4fL28pBiVC6o,눈감앗,87,85,101,False,False,False,False,
39,a30806d1-825d-415d-b260-c57e043ed11b,RANKED_SOLO_5x5,DIAMOND,III,Q_DrBwOADf9BP5846ud_-7DV2tdi0KpljT_s_aJ_vkNcI3k,수1환,8,173,160,False,False,False,False,
40,ad36a460-e28e-4575-8859-e7a988118f14,RANKED_SOLO_5x5,DIAMOND,III,Jt0zG84BNHLbgyXwsNFf0qa5ZC1xOWsTY0i9j-fEonBmfZI,다승 김,80,89,89,False,False,False,False,
41,e198581f-0ce7-4443-86d6-883785d71cd9,RANKED_SOLO_5x5,DIAMOND,III,MpWur_kpAZs0UOnPiZuLIwS25shgJZ34Imdg0rgBuiXYI9w,소환사서먼마스터,15,134,117,False,False,False,False,
42,c4b66fcf-68dd-410c-8b19-83fc9ab854b9,RANKED_SOLO_5x5,DIAMOND,III,j3bCJj0JtWVc-Tsz0P4v-3AYmGjO3UtwpC6zfkiCsvDZpNI,기도중인탑솔러,34,48,46,False,False,False,False,
43,2602697a-1aeb-4a62-8812-5290313dd824,RANKED_SOLO_5x5,DIAMOND,III,nUZMwuzWVNdfvZHmMPLxXLbJuQeni6nYQGMEmsiA0e-MUDw,왕학체,0,107,98,False,False,False,True,
44,175a2c27-50b8-47b6-aebf-d532c6e77a66,RANKED_SOLO_5x5,DIAMOND,III,iIrR8IpaxpzxWecxsWXcJnqIbC6Xg6-L8I4yFreGOKhKSCw,대포먹으면나감,32,76,54,False,False,False,False,
45,f348ad9e-40ac-4502-ba01-7b065dd17b01,RANKED_SOLO_5x5,DIAMOND,III,-emAoSNzIivJnI9n4GDiWhKeR5bcthGG6Lz0b_u9lI8vX7g,Hi Im Jiho,12,63,61,False,False,False,False,
46,056db7e3-3126-48db-b820-efdf9a39b9a7,RANKED_SOLO_5x5,DIAMOND,III,dMTlvDdfo5QH3_3QhPngYQFbIu3FRF0o_Tc_d4u5g4mVvhY,멍멍 o3o,0,155,141,False,False,False,False,
47,47fac754-4bfb-44b8-9ebf-e4239276c0a5,RANKED_SOLO_5x5,DIAMOND,III,PlDksIaVD5UJmokAauLOwpGVm99BKst1xFld_CSQIHLGEA4,제케르,19,99,102,False,False,False,False,
48,c27aa395-7842-4538-be2d-41bda8add42a,RANKED_SOLO_5x5,DIAMOND,III,ZUYKkJuLPK2zfanNniz5gh9HL0q4r0QDlqsm6G61P6Vgspg,루토루토,0,341,302,False,False,False,False,
49,928012b6-5d81-4a2f-8f8d-3ca1e8deec35,RANKED_SOLO_5x5,DIAMOND,III,P-Bxhc9p-Hv8L7Qcgg3za-nMNIk448zAlt12iHXq78UfV3k,Lypto,49,156,126,False,False,False,True,
50,b82232c6-8d16-4da0-99bb-af4c1f8a3872,RANKED_SOLO_5x5,DIAMOND,III,5rHbGUGhZkTzSWnKmeQ1zp0W8DQd3UvbXT1N0TgBwdcm6uw,스시주세요,0,139,126,False,False,False,False,
51,60af10c6-53cb-4cfb-b245-ed85f40191f4,RANKED_SOLO_5x5,DIAMOND,III,31zkHb6NwLRiVfb9xqgngPNcAGg1G87lsvEBNohXsK9HlHU,T1 Gumayushis,20,225,193,False,False,False,False,
52,4cb84375-e388-4657-9ecc-9c0a959f81e2,RANKED_SOLO_5x5,DIAMOND,III,iv04a6vvClQxSfEADK4ZpeE83IB8uh0BbP4E7gM6yV9wDLY,서폿조무사고라카,70,111,80,False,False,False,True,
53,2a05d32e-ed6c-4334-8020-a117b773084f,RANKED_SOLO_5x5,DIAMOND,III,HyoJ0X7KAnqrnF5MeR3wex4IgFWcKKwD6SH52rzotdNQLbY,OnlyYounha,0,114,121,False,False,False,False,
54,4c1c2da7-4ad0-482d-a492-769e4a8cf9ee,RANKED_SOLO_5x5,DIAMOND,III,jsLItdc95OayxnSAJq1YeLNuGD27lnxR7yJeMZpcuHPxSXU,집배원 Vlog,75,179,179,False,False,False,False,
