,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
0,de61ef86-d378-49ee-b3e3-4d8121c4b339,RANKED_SOLO_5x5,DIAMOND,II,st68P6_eO-OgDXe_0dAsy2M9aykE3fkceHwCRMamLIkqLc4,르 작,30,86,74,False,False,False,True,
1,2a05d32e-ed6c-4334-8020-a117b773084f,RANKED_SOLO_5x5,DIAMOND,II,feG_pNx3RgPVv07bywZW9QoxY_5t-R_0dzgZitFLrVaLj94,선택을잘못한사람,38,61,68,False,False,False,False,
2,e1b62197-9c55-469a-9646-a06bcea11431,RANKED_SOLO_5x5,DIAMOND,II,fB5sdxF-tlg6E3HL-yWqARtYWaUS1vOo_uOoyYK7tZcb6O4,치즈볼s,78,134,139,False,False,False,False,
3,eba35e92-8c3f-4cdc-b0c9-6be9d5dd9c66,RANKED_SOLO_5x5,DIAMOND,II,P6yqqHMH4tiB_H801IN5TRRTWaoITSC9W5l1ESbKLLh_zDU,권종윤,62,280,262,False,False,False,False,
4,6cd0f6f3-9c73-4f68-9fe6-690dde796dd2,RANKED_SOLO_5x5,DIAMOND,II,eAhl6tIy8Tv1RUVZ1gzh-n7Gp_OPwT2e2xfoyVLhuEQzUXQ,케키케키케키,60,280,290,False,False,False,False,
5,0441900d-4d6c-43a2-9577-e0c8b652edc7,RANKED_SOLO_5x5,DIAMOND,II,PCp8lXQpp8nw-Moxxv2GhepA0er41imWmOfBcfV6erGgTLs,도라도라인가,14,102,58,False,False,False,False,
6,ef67fc79-5a83-464f-b6b1-3795f2f35eb0,RANKED_SOLO_5x5,DIAMOND,II,es_5PHPQ9GV4L9MPTioeOViudSaxxrq2oFUpOUt-f5ePbW4,호이싯,13,133,129,False,False,False,False,
7,4016cab7-c050-4d47-8396-23052f705060,RANKED_SOLO_5x5,DIAMOND,II,avq4KIAS1c_5nGo4eUTunEvVaDLKqsbvLxp4V9R3l-M_E18,군지컬,57,223,201,False,False,False,False,
8,6fa4acd2-601e-445a-b4fd-0d6557d9e2d3,RANKED_SOLO_5x5,DIAMOND,II,KnMb0ob7ID6XtnybWSYJwKoB5qBl_RM2i_D6QVyhma2FZ5w,윤재의현란한무빙,0,76,73,False,False,False,False,
9,1f10eb6c-1094-435f-93a7-886f7f10ccb5,RANKED_SOLO_5x5,DIAMOND,II,-Odmec9iKQEIBrtZRK4G4f_6DsidPb066N2nay_Q-jXp2kU,융태야,18,158,160,False,False,False,False,
10,9ad5e304-4e47-47d4-b09c-22a87f914fb1,RANKED_SOLO_5x5,DIAMOND,II,-25sHdLM2l12sCX4QEXYNgiDdBsE4MTOH4pKTzu7h1j6enk,사고하기싫은사람,75,103,84,False,False,False,False,
11,af4b8a4f-d8d2-4c55-9e52-fe4be7f4b969,RANKED_SOLO_5x5,DIAMOND,II,dhu31Pm_h0is3KYIwtMmEIUNpLzd3T6TnTfLdTDCR3kbSsM,인듕이,60,168,151,False,False,False,False,
12,1fb621c3-b855-44c9-9efb-bd2c5a36e2ae,RANKED_SOLO_5x5,DIAMOND,II,sTlMf00y6EeR-cdmms31mTxwCTxAurgkzl7XLOcgE7khutg,왜 why,30,373,372,False,False,False,False,
13,37973505-df45-4a85-8187-32660a5002f6,RANKED_SOLO_5x5,DIAMOND,II,fugUrxv7kuLQkc17kTDKmcV1_FTc8IKsVt5hD6LqxrbOi5U,동네힘센 송채윤,18,277,261,False,False,False,False,
14,cde01d39-dceb-4c6e-913c-83d7ea3cd8cb,RANKED_SOLO_5x5,DIAMOND,II,t3nJ186HxgV6gmKk34UV9JhNVCMPdaiCFUPo47oa9dYXkR8,모스트안하면박음,0,253,252,False,False,False,False,
15,d0cd001b-a6d2-49d0-948a-0a043c98def1,RANKED_SOLO_5x5,DIAMOND,II,r_ZOioCNgrd1oMEH1njGOdu1SilVLtWbwA9HwLco6JeTXR8,우즈마키 윤여준,14,48,29,False,False,False,False,
16,cd3662ce-e4d4-46fb-963d-bb4c682a5b7b,RANKED_SOLO_5x5,DIAMOND,II,A8zYThRFe-c0S8-VFkV0fPYisFkx1a3gVrURBZZORGfgljE,Ulsan Sup,59,154,149,False,False,False,True,
17,dc304d9e-33e3-4bed-b5ef-2f99a8396c0a,RANKED_SOLO_5x5,DIAMOND,II,rw8zAuv-vwzFDgcs0H_8CM5zfG4A42fYAMm1imHFudhXuL0,빠샤전용그랩,57,134,103,False,False,False,False,
18,00b28222-e547-4e63-919a-2c7fe199509e,RANKED_SOLO_5x5,DIAMOND,II,3zterX7AumEDpbPpjkVn7CBDn6p5B0_Owu689lCBXWVYpqg,잘대자,75,66,60,False,False,False,False,
