,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
0,9552548e-25bb-4a5a-a779-d58e94385d3f,RANKED_SOLO_5x5,GOLD,II,wg-Ez5a7sDXLt0sWzgtjzswaqD2oBzDbuZbv4rj_9ASusw4,Telpo,35,22,14,False,False,False,False,
1,03bd71fe-8b85-431b-a9c3-26beed5bbc7c,RANKED_SOLO_5x5,GOLD,II,kjsWWVzWwutX9HzWx4PvRLRa-nDMOmy55otgPQv8ojYUUSE,오뜨존맛,23,8,10,False,False,False,False,
2,f65846b2-0e35-4a94-856f-399efda2ff3f,RANKED_SOLO_5x5,GOLD,II,VDuAVXTnCgVDe4K5xJGXDyTr4URGGkc-MHwWX1qXkYjRYXo,강원도감자칩,19,42,39,False,False,False,False,
3,8d71d3c4-2c93-4a41-852a-aebd6ca4b47e,RANKED_SOLO_5x5,GOLD,II,58i-weKXwYwEvOY_4aSS6bU6kC-t5oMdpqMSsH7HABDQOfM,1도마도재배자,36,239,230,False,False,False,False,
4,fe008f89-0da1-4a5d-8a25-15bcb862f346,RANKED_SOLO_5x5,GOLD,II,PAsN0TM_X_vt3lya9QSvPWHXQl-hqZuF9AjLTMWQFIM0LjI,라이즈는정복자지,59,21,18,False,False,False,False,
5,ce25db3a-4dac-4ba1-bf6d-68e504e7814b,RANKED_SOLO_5x5,GOLD,II,-eAPvrJj5_IyeIDakiOcZkBRCyiSkwlpM48z4xuRH4CdqTo,택배는한진,0,46,34,False,False,False,False,
6,fb23fda6-854f-4e56-b869-7a7b8a04ec16,RANKED_SOLO_5x5,GOLD,II,sOtDwS_XdIm1OO98t1fkKqWFgr0wk9DBfQIpvSRkS2AO5Bc,2532,0,3,11,False,False,False,False,
7,30214e59-a1ac-44c5-b9f6-2c20098b325a,RANKED_SOLO_5x5,GOLD,II,BjUX-a4e3sBC2EKpiA3OSZQxcNhtquj-Q7Tcrql45yc1tLQ,눈춰링,46,31,17,False,False,False,False,
8,ef5a6750-e576-4f50-9eb5-9db3ea318f34,RANKED_SOLO_5x5,GOLD,II,A-kCmR3ReOx_kMlWb9SBewxxV7eJ2EqVYrBtEbl4s8lR0Vo,롤좀 안하고싶다,0,99,113,False,False,False,False,
9,edb05c47-e75b-4883-be25-6016bfb3b6d2,RANKED_SOLO_5x5,GOLD,II,Dw7Ic_61IvVgSUqnnbKZe1fzWuMBxaPmoLNAaLPp0EQQagY,King of the dead,39,124,127,False,False,False,False,
