,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
0,4ff90023-1174-4142-bf41-1c3f8a0e170a,RANKED_SOLO_5x5,GOLD,IV,V7U-jl3xqEh4acYbyipnr2FunpqEoqMMJQtm9Co2oJQZVn8,간바레류토상,21,144,144,False,False,False,False,
1,e9a2bc65-be6e-4b39-bd0a-bd616df44603,RANKED_SOLO_5x5,GOLD,IV,he8hsM46MUUIu_HsrFazHEXYdC9_IxrqYOeksP-B7hwVrlw,신바람난 탈 샤코,22,98,109,False,False,False,False,
2,0efca69e-c33e-4aad-bcaf-3129c898e5fe,RANKED_SOLO_5x5,GOLD,IV,geEnXyd5HqWU6ujU6zEIzbofIRcpjg3hd7TciSU64MZ-Obk,백종원의요리비법,68,33,33,False,False,False,False,
3,5d7454df-6fe9-4987-9a33-0c8189edbb10,RANKED_SOLO_5x5,GOLD,IV,yW_rtcqQqVnoFmhfgoC6B-0b3PHNEXyADW31EVdBEgrjHms,asdasdqweds1,0,288,277,False,False,False,False,
4,21ba4187-fdd2-4cae-865b-a5d5e3579634,RANKED_SOLO_5x5,GOLD,IV,yHYp8mZoNY8qCRiVNOadAXJOKoqHnY8s5fXnhze4X-fGyAI,마카오박씨,44,175,172,False,False,False,False,
5,819e0e7c-5605-4ee9-b6ea-625eca7492bc,RANKED_SOLO_5x5,GOLD,IV,f3-5MJe0hYuqLtL3ARLygWrgHuTHi0gK1qKo5KAMGSQxbwA,담당일진6년차,68,109,109,False,False,False,False,
6,795a7991-593e-4339-87b0-757f78070893,RANKED_SOLO_5x5,GOLD,IV,pl0TO4F3DyuT8XSZijpmrxvTgCWz0yEBCm2F8lGoMKpoDrg,앵그리정원,62,56,40,False,False,False,True,
7,b53c9007-c823-4c32-8450-114f0e3c35ce,RANKED_SOLO_5x5,GOLD,IV,kfSxkp5sOHSt8gXRNDF2LpLZhaVRKJ8JoUuG6nRJKE2U-QA,강규는엄마가없,21,174,179,False,False,False,False,
8,8fd519c3-dd42-4720-a961-45509efeffaf,RANKED_SOLO_5x5,GOLD,IV,XJ2dXCmHcYhvRMAXltR8jpy9Zb6M3J-XaMih4lqy_Nri3nQ,귀살대령주파이크,17,83,91,False,False,False,False,
9,f2d30229-d15c-40e6-8c26-9f681aff862f,RANKED_SOLO_5x5,GOLD,IV,BRiKaGTMwmThgkTFAEccmvvba7mquYCwG0nG1brh-b4xHio,NiceTalking,0,60,72,False,False,False,False,
10,83bb5ad3-3ca3-4af7-8b88-b7eca630b2c7,RANKED_SOLO_5x5,GOLD,IV,mOjl7YaGSL06EnCX5gWNHYlngRlTXJ2fKY22vxBoOIVI3wA,발바리코치,69,24,9,False,False,False,False,
11,d55fc615-dcb5-42a2-bff7-dcfd5daa6c26,RANKED_SOLO_5x5,GOLD,IV,MaHXg6ImvyV476fP-rriCE3ZoCXYKizp9DEvxqF2JhYOmI0,MNHJ,75,16,13,False,False,False,False,
12,e6b28cfa-4bca-4b9a-80ca-da2855c08b53,RANKED_SOLO_5x5,GOLD,IV,R0j7kMHTuDEaFcaQvobn_u1GhyVOR6Dz3I-gtfoIK2nNVWA,방해성님님님,75,40,51,False,False,False,False,
13,ec3518de-cdfd-42bb-b27a-c166f964ba8f,RANKED_SOLO_5x5,GOLD,IV,10qHaFjl6UOL9Z-zIAhy6l64PMVSZUNCPBVuH6dzJgIWpmI,범바당,44,168,161,False,False,False,False,
14,9f3a8a28-251d-4714-923d-01908f58aa51,RANKED_SOLO_5x5,GOLD,IV,uGlK6i3Zzeu9b8Q-AA_VznMPAnn9-lhL0dBo2LYyMsVDu3k,마늘이알싸해,22,34,26,False,False,False,False,
15,7b4e1b6a-8a52-4e26-babe-893e405c7a65,RANKED_SOLO_5x5,GOLD,IV,oPzm61aF_zOH-2OOsemgCJP8Xt088ATqs8KSDG1gv9V2jY4,김정한,54,10,9,False,False,False,False,
16,aa9e28eb-05b7-441d-9514-86cc7daec8e9,RANKED_SOLO_5x5,GOLD,IV,Nhdf7G-gkAqJSSpJux25hQlxe7nYm0liER2futTLfbuJ0IA,욕나오니,20,16,17,False,False,False,False,
17,4350d72f-34ff-4fb1-93b5-21c48d379cfc,RANKED_SOLO_5x5,GOLD,IV,k4Sx2oDvi6Am7AkFsTMSOksphWdU5YcPge0jzBnBiSVTU_0,Crvsis Havoc,51,56,36,False,False,True,False,
18,ddb92579-d71e-4efe-b946-6c57fc2e8c1d,RANKED_SOLO_5x5,GOLD,IV,3y_kkq4bdeubrqORmksFrEqTekH1jM6p9Qu1E6QqUV85X-Y,진실의 마동 석,100,48,29,False,False,False,False,"{'target': 2, 'wins': 0, 'losses': 1, 'progress': 'LNN'}"
19,0871ccf7-fbc4-442c-b538-c9a714aa667d,RANKED_SOLO_5x5,GOLD,IV,NM0KTwEnIbQinni4Y3LQk4Oww0MSXlD2kf7zv357jsB8qo4,평가팀,46,36,53,False,False,False,False,
20,0ebdd13a-a5b5-49ec-bce5-07728ff74f18,RANKED_SOLO_5x5,GOLD,IV,OSt-iwEBa3rJDoO-afalSceqWdTGBRugTijnxUcYbxRSZWQ,GGaSi,41,6,9,False,False,False,False,
21,a0aaae23-3fa0-4593-a78c-4f8fbbac85a8,RANKED_SOLO_5x5,GOLD,IV,-ie8mnspGmUGOT_zJJy66Vjm-nAoKm_qE8TMXAcbM3dKnHk,DRX yogiyo,30,35,43,False,False,False,False,
22,68f88983-e758-4479-aa6c-c0905de60663,RANKED_SOLO_5x5,GOLD,IV,l4IEbLPuWENcEWToDyUQa4Sekje6pVr19q8BLQmvOCzmLkk,탑만감쩌,91,75,67,False,False,False,False,
23,d7a55ac9-9ee5-4904-9177-ebc3e398badd,RANKED_SOLO_5x5,GOLD,IV,z7Pq3RQ3m4JfEHt7telf2_Hgmu18CGyGoZ7c8-N7KaElBN4,야 오새로이,73,80,107,False,False,False,False,
24,14aeb45f-c8b0-4c1e-a5d5-b2147dbf7afa,RANKED_SOLO_5x5,GOLD,IV,nO9rYj5J18rksiJfo4pn2ohhx81trH9GxdfieRKJj6HVlrk,울팀서폿메디폼,37,81,70,False,False,False,False,
25,d7a55ac9-9ee5-4904-9177-ebc3e398badd,RANKED_SOLO_5x5,GOLD,IV,KKYVTVp_3AdPdnROEPvysAXVanN9raUCVL-pgz_6HkJwWlo,군대간 조무현,52,78,71,False,False,False,False,
26,bf19b395-0587-4167-bcfd-695f86465b0a,RANKED_SOLO_5x5,GOLD,IV,E5z6i7FTjUv8nuRBgzTM7dZCJyScZ1A5SxiB9lX6FBBXQ3A,lililililiill,0,29,24,False,False,True,False,
27,31f4c0c1-1d98-40fe-a67d-7fc1702fea01,RANKED_SOLO_5x5,GOLD,IV,tb0QHp8gkhw8mdzvj7nyuo2kKbaIoKcNZq7nJ3SEzgDrF0k,원유리원유리,49,14,18,False,False,False,False,
28,4abd6599-b92d-497e-9248-f7805cabbb46,RANKED_SOLO_5x5,GOLD,IV,O9NOyGZc23BtDU58_DRyGAdFzMG4JXDuk0859QOqUVK0GUo,기느님,0,110,103,False,False,False,False,
29,201ee573-72fa-4ba1-bee9-b65cd473ce43,RANKED_SOLO_5x5,GOLD,IV,YfodULL6VWYXXFYRLwHAbU_g_9vc6fgpk2R5mMe5Wmd6pfg,본싱이,0,120,114,False,False,True,False,
30,07afd437-22f1-4c3a-b646-37d9d77e49f1,RANKED_SOLO_5x5,GOLD,IV,DGBWiVW8JHmKUdyaedM8XoNZNaNTK3BeNJTDYKLNpb5etPg,IIIII111,34,28,6,False,False,False,False,
31,841d1434-1aff-45f4-8507-c9a7b8cd1607,RANKED_SOLO_5x5,GOLD,IV,n2-SMB4FQx_e0ccYxsMLFnaeqdGhpRtcsSNpJk6vckqpJgI,lliiilliiilllil,63,519,525,False,False,False,False,
32,d45fe09b-d182-4eb6-b217-fef3511967e1,RANKED_SOLO_5x5,GOLD,IV,40GcyhjJkrJzC9_u-INOyjONWTO1ozsnf4drzyNYHWgQYGo,너 혼자 유미랑,0,71,70,False,False,False,False,
33,5873c40b-6ce8-426a-9e31-64022a2ed6a4,RANKED_SOLO_5x5,GOLD,IV,6-qW4y0UdQQX9Q774mU3HLgiBaghY_f8tmA1BfUor2EQ544,8 층,78,77,74,False,False,False,False,
