,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
0,649bc504-de95-4016-8b41-27aa4bea536a,RANKED_SOLO_5x5,GOLD,I,nBIeXCUwhyrYYodzYLTa3sa4wppuUIZ4sJ3FCW_yp1eww8A,wang mei jiao,21,136,139,False,False,False,False,
1,b22034d4-bdd3-4585-88e3-0fe9156b5de2,RANKED_SOLO_5x5,GOLD,I,yM6TDCTOGyzuq8cXCXsnVpocoUgBH5nJM0H_YFERM82L644,신대방미스김,35,79,74,False,False,False,False,
2,067b081e-739e-4cd0-86f7-e979f5397532,RANKED_SOLO_5x5,GOLD,I,_vjgLHUZLugE5xgBGFyKZuS5oPe6P8D9i5_tk8J__c3bdDU,엔스vv,69,284,313,False,False,True,False,
3,3b4b2da1-3a53-4a8b-97e1-8cd7693e5fe9,RANKED_SOLO_5x5,GOLD,I,rGWARz3sUzbxivizjdOKnlQjPYwrsw0bkO-uQaVN1Xs1GLs,전범맹,25,32,39,False,False,False,False,
4,7d2c8202-eb1c-4d4f-8631-e65ae8baef32,RANKED_SOLO_5x5,GOLD,I,7dMG4Q51MIDUBh1Z55CKZxXJ7LxJPeEKxJRQuHFCAsZbO5Y,HEEGUSTAR,22,33,23,False,False,False,False,
5,5d8f8b04-a730-45e6-9080-e15deecea657,RANKED_SOLO_5x5,GOLD,I,au18Kx9OOSaOKvRAyamjdRxzQeBhn1205g8SOlOxZgtHeNk,Excal,42,37,38,False,False,False,True,
6,0d246ec7-d90f-43e2-a1fa-ce6219786aef,RANKED_SOLO_5x5,GOLD,I,C1rcCtOB40p-o44zMAGTOGiIi1DvpSJdol9A6_SBB8atBXY,LavaCrab,100,20,22,False,False,False,False,"{'target': 3, 'wins': 1, 'losses': 0, 'progress': 'WNNNN'}"
7,d6f23019-fa51-44b9-a431-b4fca36eb0f9,RANKED_SOLO_5x5,GOLD,I,Gr2vtJ7FbeUthXy2xUkNmB04IsyRR3RrAePODpJjn6RjDSA,4x2a,0,61,58,False,False,False,True,
8,f9318404-64a4-40af-8f0c-aac549709ca4,RANKED_SOLO_5x5,GOLD,I,Cd6Jsx0e_Zb_JpzE52iNBDa5MZ3vDao8I_X86a_GSl9sGOk,박잉용,63,109,87,False,False,False,False,
9,42545400-101c-480a-9a26-a37c7c73b1d5,RANKED_SOLO_5x5,GOLD,I,UNpCIXNAdT1v8XePCAk3nUS4ayKj6THUNHM13WJH8H5l9RQ,RavenLoL,0,16,25,False,False,False,False,
10,69ef563a-9bf4-4218-bec1-7af83e94181b,RANKED_SOLO_5x5,GOLD,I,9-MRJKJgKOTUSvl3DydtyU9pjsIsY2zq94T3kiQnATYD5qg,조웡창,78,249,262,False,False,True,True,
11,5709b11d-b67b-4751-99e9-d3f9559420df,RANKED_SOLO_5x5,GOLD,I,IJIhkMleWhaT-RpCkrnW7LOZFievLP9ZrUOV-ldA8cPkbVI,신동철,9,17,26,False,False,False,False,
12,5ee7b2d5-4c4c-4b86-ba28-0b8789e48cf6,RANKED_SOLO_5x5,GOLD,I,fldSfqI9zrCySLXkap0P-dqIvYrf_vY2Kb180VBMWj98V7I,야프리카,0,46,39,False,False,False,False,
13,5d9388b1-4c8d-4ea6-83d1-b8339f76ee70,RANKED_SOLO_5x5,GOLD,I,7poBannmHec6XRi5d_IrEc65pD3cADEtCw9sdg6ua_Jf0GE,눈수술 실패,3,41,32,False,False,False,False,
14,9d54c279-afae-447d-be0f-f2eb2d6141c1,RANKED_SOLO_5x5,GOLD,I,q3qu1UoSLVnvkwb13eUzAKVVDaYdMDRjU-aDTbzP1-o7OGU,갱안오면처박음,15,325,327,False,False,False,False,
15,66a65c63-6d8d-44c2-a21f-de4931027725,RANKED_SOLO_5x5,GOLD,I,X6DhBhzQTqmfPOigkdnU5bWja1SaGTf6Au_rsRPJx4_MZvA,우언딜,0,10,9,False,False,False,False,
16,48a1d6f9-9be2-4e60-ae9f-f2891f4481ac,RANKED_SOLO_5x5,GOLD,I,Y23Z9ZaOd7XIoN7FNemscmKJ1UucWdmp7Q-tQ7zHyX6SeUA,청계산출구,43,13,14,False,False,False,False,
17,8c12ce19-232f-42b5-8e94-7799290ff7d9,RANKED_SOLO_5x5,GOLD,I,CaLPiBkPgB2Z4l6faD9rlb09glTSuuqDK4gcmQouLKMpFwE,섹시가이 조성일,54,34,12,False,False,False,False,
