,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
0,470ed5d0-aab5-4e02-ab1d-b14f5e863a7f,RANKED_SOLO_5x5,PLATINUM,III,mevqaxMyxJ3vMyH6llz38ius9epj0EI2jmeDeVPbSxmFok0,귐민혁,3,343,321,False,False,False,False,
1,23627951-ee40-4404-a033-d0f70bdafc54,RANKED_SOLO_5x5,PLATINUM,III,gIGVvdE0o6LIxJYz5MANFw-Ig9mngzemIEIdU4QZynXkbp4,국산쭈꾸미,41,44,44,False,False,False,False,
2,744c4d21-eb90-47dd-8ac8-68fac90a04a5,RANKED_SOLO_5x5,PLATINUM,III,Wgg3-qQV3bl1SHJZ-RI6tpzt1e8bM4i2YawL7TE3MDynR9A,마법뿌장관,22,325,312,False,False,False,False,
3,6795391b-c4e7-4082-84de-e732a122507a,RANKED_SOLO_5x5,PLATINUM,III,cwwKaJ10qZcvzYSoNq6CKfed2zIEIp9zE5KFvTcWyrFWoys,뾰로로로로롱,12,240,222,False,False,False,False,
4,5a59524c-9dc5-490a-a838-cd5f25629ed2,RANKED_SOLO_5x5,PLATINUM,III,n3xfd3GNuJrk6l1QpJ7OEQsKkYfT0KaF-CvwWCfjd72ptb8,진띰펀치,0,65,59,False,False,False,False,
5,abe5edff-d0e7-4e18-99fb-17661fe74524,RANKED_SOLO_5x5,PLATINUM,III,WUFp8xg98d3MriTuXGYJbz_DGaVq_RC5YkGjcRKBWdLFaXs,유르이아,0,56,38,False,False,False,False,
6,60d1b487-57d8-4795-a0d4-6aa41d1f7813,RANKED_SOLO_5x5,PLATINUM,III,rOA6Sb7Z1RXIInb10V1vRcKdhazvFgkzpaHDwTC0EKuTnOc,HJYL,96,41,34,False,False,False,False,
7,c2dff831-14a6-436c-b156-b56ba3f48c68,RANKED_SOLO_5x5,PLATINUM,III,lPV59uGeNCFvkUeuolQICLHuuElzcB2f8Sbl-zIPJteP4Dg,뮤니크흐,55,101,78,False,False,False,False,
8,7e00b72a-1bee-4ab2-b787-5d1b788ee0a6,RANKED_SOLO_5x5,PLATINUM,III,0r3QS-dIGgVuL9NCKqovQ_GY6_SsDA7_hmMHJlWgRl_g0Y4,SOLAKA,74,45,37,False,False,False,False,
9,f92929b8-b034-4c7d-a519-2a5fae56bba5,RANKED_SOLO_5x5,PLATINUM,III,gHHRqapVejcayT2H45UjD0vYW2aIhuoEZVH2tGyNrrO-V7o,나야나현토기,81,65,60,False,False,False,True,
10,8310c224-ec5f-46a2-8aed-17be737b12e6,RANKED_SOLO_5x5,PLATINUM,III,UqN2kEMKyq3agfULroI4FpNllmps2c6XLi-RXYsjitR9r1Q,민우는 개벌레,0,146,136,False,False,False,False,
11,b142694e-6f02-4e76-a225-b4c306686f57,RANKED_SOLO_5x5,PLATINUM,III,jD20ohv8wwjw5_VAwChuYoYDx5BOfvWSkq-USyuaWC2gm4k,거세당할라,0,123,127,False,False,False,True,
12,474d136e-b3a0-47a4-9e41-8a4ea0cf5d38,RANKED_SOLO_5x5,PLATINUM,III,tAT0UXDOJMyxFNmibw1vfoM_A713-T8jYE5V8iKh4qbe1dE,색지보스텰,27,84,60,False,False,False,False,
13,8509e83e-1181-4de4-b911-3475a9ec6c89,RANKED_SOLO_5x5,PLATINUM,III,WzrjtvjrDyffCCY4ePowSIF4EKBCDp21JgKGUqq0LaJj4GE,핵귀요미 상워니,55,86,68,False,False,False,False,
14,ba950875-ac1d-4fbb-ae0c-e582da1ea11e,RANKED_SOLO_5x5,PLATINUM,III,zxFKX5mN5GWCRKq8MtYDD31DMCeNakOxYOUqdQzIBQWw5bM,동방철준,0,73,77,False,False,False,False,
15,1011c6e7-4db8-419b-8a49-932d77fa78fa,RANKED_SOLO_5x5,PLATINUM,III,LArg8qKrvF1V8yKJ2lM9C7YsIRun2M5ybyhjhTh3J9rWCoI,뽀덮쳐뚜비야,23,9,3,False,False,False,False,
16,6a790a1f-ca2e-421e-8234-6c23dc2e1c09,RANKED_SOLO_5x5,PLATINUM,III,q4ReICyyNfZdMfS6q3HpmLdfqR8wGOWDbsBSZ2V9U8Vti6k,착하게살아야지,70,62,56,False,False,False,False,
17,eb96ec04-43ab-4670-acc8-cd445ce14513,RANKED_SOLO_5x5,PLATINUM,III,DRRYtosqp-pUn4JPioKj4mlV5Km_BL7K7tD2vjRzj3Loffs,타블로걍결혼행,33,69,64,False,False,False,False,
