,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
0,59cdd356-2592-42a2-8375-b366fb84bc06,RANKED_SOLO_5x5,PLATINUM,II,qLV1RzGZQ_C_byqZACxFcrxXrhLpzsQyP0zgA-_urz6xW1A,서라벌백마이상호,13,111,112,False,False,False,False,
1,e33a5e7a-2612-41f9-898c-d4aae812ef16,RANKED_SOLO_5x5,PLATINUM,II,uQTzAZD3wXTt9R9GS9gkSWqYn94Q9OdmLsb8hHCbRg_ZGmHB,Yunika,32,11,13,False,False,True,True,
2,3e9a36d9-3ff2-494d-9400-5546af1a101e,RANKED_SOLO_5x5,PLATINUM,II,LIYkvx3aCGuqusiDcUzcVdgwUBYBMckTmolGI5g6EWYPcs8,힘이 센,44,146,141,False,False,False,False,
3,b1bde792-f136-4b10-b165-4301bcb5e280,RANKED_SOLO_5x5,PLATINUM,II,3nHUfmuG48Q2BrPBbuC88TTUrCCNkt_rXvHeVIPUI4qabL0,고독한 이상혁,43,138,130,False,False,False,False,
4,82f2257e-761b-40d6-b511-65a089bd60f2,RANKED_SOLO_5x5,PLATINUM,II,-ZM8rS6r95-ylzo_zZd-Q78lMrNqpdN3iYt8YRCTkmQfAZk,바른닉네임156485,15,148,114,False,False,False,False,
5,be9a1cf1-f692-48e1-ad76-cfe14af22573,RANKED_SOLO_5x5,PLATINUM,II,-eMqn13KL05jkcOo_b6tCyDBipLm571QBQ8qfKLcVO21LXg,오말롱,58,90,104,False,False,False,False,
6,3c0c0867-ff3c-4719-b11a-8d059b86dc32,RANKED_SOLO_5x5,PLATINUM,II,QhfLA0X9MfjPBYsw7XLfKtdMWlZEu9iKrcxk-l6DmR0GXI0,상체챠이,58,162,163,False,False,False,False,
7,7e421376-c94f-400b-90c0-e26b66e3c0b6,RANKED_SOLO_5x5,PLATINUM,II,nukdvdEu0F9EwxVDD3rgPQz2DhAz79-VYKkjFbZt4SbyTts,미보토,59,168,119,False,False,False,False,
8,8f05d723-71ba-430e-aa12-a12ce008ee2c,RANKED_SOLO_5x5,PLATINUM,II,D-58pib8_NPWUfI42qXLuafuhTHcEUeHM1otYmhXl2hJG6U,설탕이울면흑설탕,19,138,153,False,False,False,False,
9,b7f98ad3-0e4d-4bf1-bf06-a46086416d00,RANKED_SOLO_5x5,PLATINUM,II,NqYpF3dRt2CJiXhk4F7coF1yu4LCARUrRL0fqk6uaH4oaq8,뚜씨뚜씨따,75,28,25,False,False,False,False,
10,4e172f5c-6369-4862-9f53-95aad54deba9,RANKED_SOLO_5x5,PLATINUM,II,HscWfz_4YcpXZhSx45-gOcf_NPcgFwMIq-Ry3SPr36iHZQw,JHSSH,44,254,213,False,False,False,False,
11,8509e83e-1181-4de4-b911-3475a9ec6c89,RANKED_SOLO_5x5,PLATINUM,II,nXX6DUuzDsMgQ-nAhND05TBo8qxn9kHU7f9SC9u7CebV6w4,와드먹으라고,16,38,38,False,False,False,False,
12,7e00b72a-1bee-4ab2-b787-5d1b788ee0a6,RANKED_SOLO_5x5,PLATINUM,II,61cHggIY1DuezGb42r5qhb7qKM-zRiVjE1vFIZdYgpylDEY,시계방하라방,0,26,20,False,False,False,False,
13,b47f1e2e-46ae-4cad-8723-5fe9d706b82c,RANKED_SOLO_5x5,PLATINUM,II,tk12iK_-0CNqMXmdUK30HMVeXI882Z-ktaR7o_HRthMiUi8,mmmmmmmmmminin,35,262,254,False,False,False,False,
14,185f90c5-15ec-4772-86f2-fe1ebd69563b,RANKED_SOLO_5x5,PLATINUM,II,SrLyA54Nd7_AV6iQ1INF0AkoPamycZcSex3NSt25ePShHDI,람머스좀잡아줘,91,101,69,False,False,False,False,
