,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
0,1aa0e9aa-8670-4405-8ce4-30a36116d1f7,RANKED_SOLO_5x5,PLATINUM,IV,qi43jPAxoRmt-A3_F6tkAEC0yTDlDvPPnk7lycVA4GenE68,착 한 폭 력,66,85,68,False,False,False,False,
1,10b453c3-c070-4c04-8b40-b5f86c29e565,RANKED_SOLO_5x5,PLATINUM,IV,pNjdN_SpZkZBhpKPk5y_q5QpZ36cQUZSl4R9SvZI862HWGw,      이남주,0,29,23,False,False,False,False,
2,72372341-453c-4c79-8f9a-e5edd133701f,RANKED_SOLO_5x5,PLATINUM,IV,t_V268PRS7L0vW11ieFRhi-himejHUDYBsRvnGdKTr4Mkps,갓다운,0,68,66,False,False,True,False,
3,e400ae1a-4125-4aca-b280-1496e5e4f95d,RANKED_SOLO_5x5,PLATINUM,IV,5VVVQfC9ht1HcqHrjI_DxHvQI2AMxJov606YIdTjKJMCkG4,정상에 올라서다,100,20,24,False,False,False,True,"{'target': 2, 'wins': 1, 'losses': 0, 'progress': 'WNN'}"
4,63a1800f-467b-40ac-9411-d09b1ef9b8c2,RANKED_SOLO_5x5,PLATINUM,IV,2sB21UWeq2YhvFZGfqNVI6tUCUHD_6H-Cn_oQJrV0bjX-3E,히키코모리 씅이,18,108,118,False,False,False,False,
5,31adedff-626d-4ac3-a9b0-72d79025d005,RANKED_SOLO_5x5,PLATINUM,IV,nRXc1ul7m5Lsf3SsbgqU42pnescxMtizslzlK48QQTnSkto,개로스인생,0,157,141,False,False,False,False,
6,3e77ab1c-b9f8-4179-8444-3e8d52c7b5dd,RANKED_SOLO_5x5,PLATINUM,IV,jq7qDtEF19Lff4AZBmHL3S6pzCSQIDp3ZCFVb_Nsj5D-qDc,Oreps,82,209,205,False,False,False,True,
7,29669eaa-b1ad-4c8a-83e7-59882814529a,RANKED_SOLO_5x5,PLATINUM,IV,FeM6EPpScCsn279wjHPNonH05Go0rKH9rAkdpgvWmO8mxbo,용대야오디갈래,16,129,111,False,False,False,False,
8,898d0c8e-15c4-4b2a-aac3-c64d873fb23c,RANKED_SOLO_5x5,PLATINUM,IV,npjfirmdNU4q81y8WSTr4c8efBdNGwI6moeoWOImGIs45rM,우르프ridcr,0,99,92,False,False,False,False,
9,6f92d58d-2721-4aed-a802-cb112ececcde,RANKED_SOLO_5x5,PLATINUM,IV,TWUwt3Qjvppe_Nb1bOi7ytAoS53ntXqRhr0jB0AYVQ_R570,일본빡빡이,33,209,220,False,False,False,False,
10,76afd5f8-4a8f-4798-b292-e531255521ac,RANKED_SOLO_5x5,PLATINUM,IV,0KiRFinONtxmxc-9_VHEvDu7BeXkMOdmtRRh3T584-h9dQQ,당신을위한강형욱,4,440,431,False,False,False,False,
11,4fe83db4-8c90-4cb9-b5f1-bb4461349682,RANKED_SOLO_5x5,PLATINUM,IV,c3dxrkDgFipOs4ZOcLPmK4iwuWGi0ExMoiz509iscc404Z0,준기 배고파,28,9,7,False,False,True,True,
12,7ca7b164-3449-4e9c-8c8a-d5b6a69a92b3,RANKED_SOLO_5x5,PLATINUM,IV,7MayidH5T4HuUNjitpCmjoKTymatj7kqBltQfDPjp2lg3Bs,우이옹,0,56,68,False,False,False,False,
13,e8ffcfb2-aa53-4d51-9405-0ad9b0de92e9,RANKED_SOLO_5x5,PLATINUM,IV,iIJVyr5zbPSLIIo123ouUH6PTzD42S919RnIMDFnccdlx04,해운대1타강사,80,156,155,False,False,False,False,
