,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
0,BNRZ46OWMuvolkQv5FNky-TEY47BRkF3SL472Xk3FXdDrlE,KR Top,147,I,178,91,False,False,True,False
1,fdQUYz_UWLpcfXnAqE8w_0zyEn5EkxaXoUqDRgqxLs-H1Q,쩡 찡,0,I,295,251,False,False,True,False
2,JZ5aDzw1C36cFi6a1dfTKk6ELj10Vo73hX1PiQ94fU9cXmI,메1론,177,I,68,33,False,False,False,False
3,Aibudh8PnedynZvdd-yaTbfnCD_vqzgVFZztXZkfTG50oeQ,그래도요,31,I,99,84,False,False,False,False
4,x9t6I_p8kwiXDaHuuFxSM3QRh63x-MphFi3LM7-z5mBpmgk,펭귄수호자 바드,0,I,148,87,False,False,False,False
5,N_5Pd8RQ6EgkbkomLlvQRswf1jzmWLaYzK0aU0SOasJB8dQ,snowman9,45,I,116,95,False,False,False,False
6,BWGaLcpWe-1D8dVjGrgjONDbJhpXerU0sZ-plb76Cc9ouRc,우리 권오 힘줘,101,I,204,168,False,False,False,False
7,gffFhxxgaDDpJFYlNtNIYVQNcSzKnusaGqnzycGpBQ59hXI,Gray Cow,116,I,300,283,False,False,False,False
8,Sr122-X8BcOBB4TnMdtpXlcwgG6725SBRie-5U9W7J3qblI,Prove myse1f,74,I,439,432,False,False,False,False
9,E0cgY5P9jT72Idln618NRrrtNJT0OOz8HMTzC88-NtkckQ0,힐 써서 막타 침,0,I,791,825,False,False,True,False
10,jgAeBU7mEIXwYoWZhRRy_01IVGNiYjvNK-nsgU7yCt3OIto,외 로 운 놀이,0,I,597,600,False,False,True,False
11,bMnjaLBu-aTj1nWpmY48ZRty64JFPI36pGYGpae5z3zBEUI,김태겸,71,I,97,76,False,False,False,False
12,3YEAe0VzK537mu_DAgaCFQLBaenNPseovOuV9gUl5ZeOlCY,2OO21005,217,I,128,104,False,False,False,False
13,EJl9HXGkpxoIKaQCDNMgnZCOHU0C1QpeXEp-_Uf159yIWQ,인 연,21,I,88,38,False,False,False,True
14,x08M2-u1s93cbKAwMjiByJX48GRmTQ7o71dUJ1AcXcn4Trc,심심풀이 여신,140,I,371,358,True,False,False,False
15,d1t8GCEo3FCi0vAQtw6wUpOIZfXxvV5L5rPHaXupPRyJyZ0,벽블린,125,I,674,650,False,False,False,True
16,eZ7BTtSqpCqtnRr_7g7Jm0bdnjYCUj0Twlwp6h0VmqPrAs8,OOODOODOOOODODDD,0,I,137,115,False,False,True,True
17,ghuTZA8chyDgZYPkgAMG76SCAqXh-5ieSWz1ZAq4l1J8Hw,아프리카 TV 모순,209,I,752,741,False,False,True,False
18,TH-S_27Nf4DhZpqXsMARIyo_oG8wAJJZO9azd7MvplPYfyI,낮다 지능이,208,I,162,129,False,False,False,False
19,dz2IBF7g4tcKoOj9mIeRBytDH25dP8INpry1_LeLZcodmw,세최펭,109,I,234,201,False,False,False,False
20,DwGTgKTqsgJzp0dbL8Lywr_D1IfBeg7B5RoWf45n2aPmpqM,Tlcc SnakeGirl,35,I,302,267,False,False,False,False
21,6G4aerXqN5MQQ48gFcOXPSKkBxkiMlGWQK5fUDSAxp-sa2I,YongMin2,70,I,455,427,False,False,True,True
22,bF4XqBsSPpguW35LCXlOkxd_VjZQdViqtcpRHxkF1lNmsi4,Fix you xxx,233,I,589,579,False,False,True,True
23,rAdnWv3XUju0J7bgo_fVepydQHmwCranToQXzanzw2OYy9c,kuai le chao ren,184,I,398,378,True,False,False,False
24,EZ4e_eUjmIBgoKYeSoHGilrPtO5oBEQpKwYDpZsQJLmPPN0,qkrtjdals123,94,I,178,165,False,False,False,False
25,VXruHt017Rd_nvxMPd_sdubBfFBDyiZMxgraQRQkF0tnTWo,T OEIK T,30,I,108,73,False,False,True,False
26,sosef4mZhpPSwCxiFBewhOn7zuH2JisKmaxaOvAMAQMrTpY,보기드문여자인걸,0,I,178,147,False,False,True,False
27,CM2ZetU9QTgFwxo7WqFwwuEfQ3WEnxdTupBG1eMd4PUwP0M,Purple Fanta,0,I,154,137,True,False,False,False
28,H4CLj0GsA4TQ4rZ0vAD1JqtakiVzv7_sm5j97dbE24_uM8Y,갱슥2,70,I,55,31,False,False,False,False
29,Ece49c085ki6pfwWOhsaEH9nlI5_Wr--NPwaQTPhNYR5L5w,기엽다,152,I,99,102,False,False,False,False
