,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4402486823,55,420,13,1590257016644,SOLO,MID
1,KR,4402482740,55,420,13,1590255176716,SOLO,MID
2,KR,4402397045,50,420,13,1590253027732,SOLO,MID
3,KR,4402323299,105,420,13,1590251425273,DUO_SUPPORT,NONE
4,KR,4402198294,55,420,13,1590247477539,SOLO,MID
5,KR,4402068865,55,420,13,1590244921062,DUO,MID
6,KR,4401939812,81,900,13,1590242621783,DUO_SUPPORT,NONE
7,KR,4401079824,157,900,13,1590226661531,DUO,NONE
8,KR,4401052921,7,900,13,1590224507660,SOLO,BOTTOM
9,KR,4401030946,81,900,13,1590223848346,DUO,NONE
10,KR,4400987024,105,900,13,1590222876312,DUO_SUPPORT,NONE
11,KR,4400993895,142,900,13,1590221992198,DUO_SUPPORT,NONE
12,KR,4398688274,81,900,13,1590138523304,DUO_SUPPORT,NONE
13,KR,4398703195,55,420,13,1590136855172,SOLO,MID
14,KR,4398507850,67,420,13,1590134430797,DUO_CARRY,BOTTOM
15,KR,4398592492,157,420,13,1590132779679,SOLO,MID
16,KR,4398224789,142,900,13,1590129923482,NONE,JUNGLE
17,KR,4397183639,81,900,13,1590069098285,DUO_SUPPORT,TOP
18,KR,4397079175,142,900,13,1590067941339,DUO_SUPPORT,NONE
19,KR,4397033641,142,900,13,1590066407706,DUO_CARRY,TOP
20,KR,4396936940,157,900,13,1590064629290,DUO,NONE
21,KR,4396499384,142,900,13,1590059676085,DUO,MID
22,KR,4396505186,142,900,13,1590058387234,DUO_SUPPORT,NONE
23,KR,4396442047,81,900,13,1590057117689,DUO_SUPPORT,NONE
24,KR,4396358043,142,900,13,1590055686103,DUO_SUPPORT,NONE
25,KR,4396325480,350,900,13,1590054646512,DUO_SUPPORT,NONE
26,KR,4396340709,157,900,13,1590052863991,DUO_SUPPORT,NONE
27,KR,4396296666,142,900,13,1590051403233,DUO,TOP
28,KR,4396271221,142,420,13,1590049355016,SOLO,MID
29,KR,4393132110,11,440,13,1589912758845,DUO_SUPPORT,NONE
30,KR,4393091396,55,440,13,1589911068460,SOLO,MID
31,KR,4393016951,142,440,13,1589908750993,SOLO,MID
32,KR,4392993391,105,440,13,1589906577851,SOLO,MID
33,KR,4392908901,157,440,13,1589904969610,SOLO,MID
34,KR,4392854892,157,900,13,1589902820968,DUO,TOP
35,KR,4392828395,81,900,13,1589901353392,NONE,JUNGLE
36,KR,4392823910,157,900,13,1589900014469,DUO_SUPPORT,NONE
37,KR,4392810329,55,900,13,1589898874788,DUO_SUPPORT,NONE
38,KR,4392698115,105,900,13,1589898110264,DUO,NONE
39,KR,4392671546,157,420,13,1589896418634,SOLO,MID
40,KR,4392541916,142,420,13,1589893863598,SOLO,MID
41,KR,4392492506,55,420,13,1589891946818,SOLO,MID
42,KR,4392423867,142,420,13,1589890078122,DUO,MID
43,KR,4390084518,236,900,13,1589802003756,DUO,MID
44,KR,4390080315,55,900,13,1589800929627,DUO_SUPPORT,NONE
45,KR,4389495497,55,420,13,1589793185528,SOLO,MID
46,KR,4381168803,55,440,13,1589531939952,SOLO,MID
47,KR,4381194580,55,900,13,1589530705094,DUO,NONE
48,KR,4381141533,142,900,13,1589529758984,DUO_SUPPORT,NONE
49,KR,4379318387,157,420,13,1589460437557,SOLO,MID
50,KR,4379302063,105,420,13,1589458795072,SOLO,MID
51,KR,4379224834,55,420,13,1589456822034,SOLO,MID
52,KR,4378157579,142,440,13,1589431666262,SOLO,MID
53,KR,4377786651,142,440,13,1589396758577,SOLO,MID
54,KR,4377687042,55,420,13,1589389741873,SOLO,MID
55,KR,4377569228,55,420,13,1589386123304,SOLO,MID
56,KR,4377612870,55,420,13,1589383902426,SOLO,MID
57,KR,4377443368,55,420,13,1589380900035,SOLO,MID
58,KR,4377416299,55,420,13,1589379144173,SOLO,MID
59,KR,4377304253,81,420,13,1589376063067,DUO_CARRY,BOTTOM
60,KR,4377184203,157,420,13,1589373435065,DUO,MID
61,KR,4377056034,55,420,13,1589371260158,SOLO,MID
62,KR,4376689188,157,420,13,1589369293067,SOLO,MID
63,KR,4376663044,142,420,13,1589367319795,SOLO,MID
64,KR,4376624970,55,420,13,1589364604768,SOLO,MID
65,KR,4371449582,39,440,13,1589183058190,DUO,MID
66,KR,4371436131,39,440,13,1589181748904,DUO_SUPPORT,NONE
67,KR,4370307608,55,420,13,1589122167089,SOLO,MID
68,KR,4370058154,55,420,13,1589119490422,SOLO,MID
69,KR,4370041273,11,420,13,1589117862235,NONE,JUNGLE
70,KR,4369823468,55,420,13,1589114015679,SOLO,MID
71,KR,4369676828,157,420,13,1589112110478,DUO_CARRY,BOTTOM
72,KR,4369568728,157,420,13,1589110071517,SOLO,MID
73,KR,4369507961,157,420,13,1589107523964,NONE,JUNGLE
74,KR,4369419307,55,420,13,1589105322276,DUO,TOP
75,KR,4369309720,142,420,13,1589102571808,SOLO,MID
76,KR,4369252489,55,420,13,1589100314576,SOLO,MID
77,KR,4369222979,55,420,13,1589098413910,SOLO,MID
78,KR,4369081357,142,420,13,1589095092904,DUO_CARRY,MID
79,KR,4359019514,141,420,13,1588750549996,NONE,JUNGLE
80,KR,4358934344,245,420,13,1588747889525,NONE,JUNGLE
81,KR,4358799769,141,420,13,1588746216717,NONE,JUNGLE
82,KR,4357853621,141,420,13,1588694374319,NONE,JUNGLE
83,KR,4357592300,141,420,13,1588685791598,NONE,JUNGLE
84,KR,4357416656,141,420,13,1588684316145,DUO_SUPPORT,NONE
85,KR,4356717196,141,420,13,1588672206703,NONE,JUNGLE
86,KR,4356681808,141,420,13,1588670627181,NONE,JUNGLE
87,KR,4356621782,50,420,13,1588668208958,SOLO,MID
88,KR,4356446266,142,420,13,1588666301160,SOLO,MID
89,KR,4356373684,105,420,13,1588663256877,SOLO,MID
90,KR,4356311080,76,420,13,1588659972823,NONE,JUNGLE
91,KR,4354969936,141,420,13,1588607558955,NONE,JUNGLE
92,KR,4354746825,141,420,13,1588601896727,NONE,JUNGLE
93,KR,4354473120,105,420,13,1588594083183,SOLO,MID
94,KR,4353820694,55,420,13,1588581210699,SOLO,MID
95,KR,4353638154,141,420,13,1588579846996,DUO_SUPPORT,NONE
96,KR,4353650629,141,420,13,1588577591576,NONE,JUNGLE
97,KR,4352163688,141,420,13,1588515744663,NONE,JUNGLE
98,KR,4352034722,141,420,13,1588513469459,NONE,JUNGLE
99,KR,4351934372,141,420,13,1588511236807,NONE,JUNGLE
0,KR,4402652447,81,450,13,1590273012629,NONE,JUNGLE
1,KR,4402681171,39,450,13,1590271721368,DUO,NONE
2,KR,4402630824,114,450,13,1590269802268,DUO_SUPPORT,TOP
3,KR,4402640198,498,450,13,1590268874532,DUO,NONE
4,KR,4402588937,350,450,13,1590267689477,DUO_SUPPORT,NONE
5,KR,4402584787,5,900,13,1590262490378,NONE,JUNGLE
6,KR,4402524542,5,900,13,1590261446579,DUO_SUPPORT,NONE
7,KR,4402509440,5,900,13,1590258663294,DUO_SUPPORT,NONE
8,KR,4402418450,99,450,13,1590257055340,DUO_SUPPORT,TOP
9,KR,4402504020,23,450,13,1590255745143,DUO_SUPPORT,NONE
10,KR,4402387836,56,420,13,1590253256277,NONE,JUNGLE
11,KR,4402323217,254,420,13,1590251373760,NONE,JUNGLE
12,KR,4402284827,254,420,13,1590249216206,NONE,JUNGLE
13,KR,4402210615,5,900,13,1590247641362,DUO_SUPPORT,NONE
14,KR,4402183828,164,450,13,1590246167341,DUO_SUPPORT,NONE
15,KR,4395789301,555,430,13,1590031550260,DUO_SUPPORT,NONE
