,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4390835192,30,440,13,1589828106968,NONE,JUNGLE
1,KR,4390830000,102,440,13,1589825546054,NONE,JUNGLE
2,KR,4390759424,10,440,13,1589823783052,NONE,JUNGLE
3,KR,4390756863,48,440,13,1589822254894,DUO_SUPPORT,NONE
4,KR,4390734804,63,440,13,1589821026698,DUO_SUPPORT,NONE
5,KR,4390697901,13,440,13,1589818594744,SOLO,MID
6,KR,4390634667,57,440,13,1589816894812,SOLO,TOP
7,KR,4390587502,78,440,13,1589814947632,SOLO,TOP
8,KR,4388376111,157,440,13,1589732202311,DUO_CARRY,TOP
9,KR,4388293702,84,440,13,1589728473850,SOLO,MID
10,KR,4388186054,157,440,13,1589726367784,NONE,JUNGLE
11,KR,4388024681,84,440,13,1589723550584,SOLO,MID
12,KR,4387629511,84,440,13,1589720430475,SOLO,TOP
13,KR,4387507482,84,440,13,1589717976749,SOLO,MID
14,KR,4369048975,202,420,13,1589096800354,DUO_CARRY,BOTTOM
15,KR,4368967883,202,420,13,1589094360855,DUO_CARRY,BOTTOM
16,KR,4368902460,202,420,13,1589092442960,DUO_CARRY,BOTTOM
17,KR,4367515610,202,420,13,1589034298333,DUO_CARRY,BOTTOM
18,KR,4367355738,202,420,13,1589032005345,DUO_CARRY,BOTTOM
19,KR,4367156400,202,420,13,1589029647587,DUO_CARRY,BOTTOM
20,KR,4363713715,238,420,13,1588927511143,DUO,MID
21,KR,4363660603,81,420,13,1588925814392,DUO_CARRY,BOTTOM
22,KR,4351560832,25,420,13,1588500877179,DUO_SUPPORT,BOTTOM
23,KR,4333615296,51,420,13,1587908390916,DUO_CARRY,BOTTOM
24,KR,4333448937,523,420,13,1587906857829,DUO_SUPPORT,NONE
25,KR,4333425666,84,420,13,1587904152772,SOLO,MID
26,KR,4333259333,84,420,13,1587902466355,DUO_SUPPORT,NONE
27,KR,4333208623,84,420,13,1587900052693,SOLO,MID
28,KR,4333038991,84,420,13,1587897550661,SOLO,MID
29,KR,4333051876,43,420,13,1587895724595,DUO_SUPPORT,BOTTOM
30,KR,4331704852,84,420,13,1587854380613,SOLO,MID
31,KR,4331673496,84,420,13,1587851936359,SOLO,TOP
32,KR,4331711409,84,420,13,1587849123167,SOLO,TOP
33,KR,4331710053,236,420,13,1587847178188,DUO_CARRY,BOTTOM
34,KR,4331568381,81,420,13,1587844796470,DUO_CARRY,BOTTOM
35,KR,4331625279,81,420,13,1587842512852,DUO_CARRY,BOTTOM
36,KR,4331571998,21,420,13,1587839917843,DUO_CARRY,BOTTOM
37,KR,4331516378,67,420,13,1587837260469,SOLO,BOTTOM
38,KR,4331336264,21,420,13,1587833443826,DUO_CARRY,BOTTOM
39,KR,4331008240,110,420,13,1587830793950,DUO_CARRY,BOTTOM
40,KR,4330936344,236,420,13,1587827920302,DUO_SUPPORT,NONE
41,KR,4330778712,22,420,13,1587826011426,DUO_CARRY,BOTTOM
42,KR,4330689623,110,420,13,1587823994032,DUO_CARRY,BOTTOM
43,KR,4330619635,498,420,13,1587821866100,DUO_CARRY,BOTTOM
44,KR,4330489878,22,420,13,1587819598640,DUO_CARRY,BOTTOM
45,KR,4330481523,22,420,13,1587817664645,DUO_CARRY,BOTTOM
46,KR,4328920637,22,420,13,1587764001814,DUO_CARRY,BOTTOM
47,KR,4328769969,22,420,13,1587762006215,DUO_CARRY,BOTTOM
48,KR,4328757593,22,420,13,1587758729488,DUO_CARRY,BOTTOM
49,KR,4328756144,157,420,13,1587757149767,DUO_CARRY,BOTTOM
50,KR,4328782854,51,420,13,1587754537464,DUO_CARRY,BOTTOM
51,KR,4328780436,22,420,13,1587752920220,DUO,NONE
52,KR,4328637547,22,420,13,1587751134999,DUO_CARRY,BOTTOM
53,KR,4328605999,22,420,13,1587746705234,DUO_CARRY,BOTTOM
54,KR,4328591032,22,420,13,1587745164823,DUO_CARRY,BOTTOM
55,KR,4328475277,22,420,13,1587743499195,DUO_CARRY,BOTTOM
56,KR,4328397586,21,420,13,1587741499956,DUO_CARRY,BOTTOM
57,KR,4328318327,236,420,13,1587739342781,DUO_CARRY,BOTTOM
58,KR,4327631287,10,420,13,1587730633196,SOLO,TOP
59,KR,4327573168,57,420,13,1587728534420,NONE,JUNGLE
60,KR,4327456123,57,420,13,1587726444612,SOLO,TOP
61,KR,4327428297,69,420,13,1587724211122,SOLO,TOP
62,KR,4327422069,69,420,13,1587722167582,SOLO,TOP
63,KR,4327235792,57,420,13,1587719771239,DUO_CARRY,TOP
64,KR,4327186739,57,420,13,1587716746410,SOLO,MID
65,KR,4327129322,57,420,13,1587714410017,SOLO,TOP
66,KR,4325380618,497,450,13,1587642455166,DUO_SUPPORT,NONE
67,KR,4324869174,40,450,13,1587639178137,DUO_SUPPORT,MID
68,KR,4324902625,154,420,13,1587637262484,NONE,JUNGLE
69,KR,4324796099,154,420,13,1587635034104,NONE,JUNGLE
70,KR,4320545931,51,420,13,1587482401177,DUO_SUPPORT,NONE
71,KR,4320407550,22,420,13,1587480160406,DUO_CARRY,BOTTOM
72,KR,4320298513,21,420,13,1587478008390,DUO_CARRY,BOTTOM
73,KR,4315936548,51,420,13,1587337210430,DUO_CARRY,BOTTOM
74,KR,4315975098,21,420,13,1587335893450,DUO_SUPPORT,NONE
75,KR,4316012462,21,420,13,1587332122853,DUO_CARRY,BOTTOM
76,KR,4315950696,22,420,13,1587328225084,DUO_CARRY,BOTTOM
77,KR,4315869030,21,420,13,1587326046124,DUO_CARRY,BOTTOM
78,KR,4315926685,22,420,13,1587324285637,DUO_CARRY,BOTTOM
79,KR,4315691731,498,420,13,1587311179181,SOLO,BOTTOM
80,KR,4315548058,110,420,13,1587309851027,DUO_SUPPORT,NONE
81,KR,4315561136,84,420,13,1587308101119,SOLO,TOP
82,KR,4315464654,21,420,13,1587306523805,DUO,NONE
83,KR,4315278971,157,420,13,1587302977701,DUO_CARRY,BOTTOM
84,KR,4315301959,81,420,13,1587301602071,DUO,NONE
85,KR,4315160014,21,420,13,1587299054784,DUO_CARRY,BOTTOM
86,KR,4313083857,84,440,13,1587234390511,SOLO,TOP
87,KR,4312899759,21,440,13,1587232427520,DUO_CARRY,BOTTOM
88,KR,4312884103,22,440,13,1587230298067,DUO_CARRY,BOTTOM
89,KR,4312704793,134,440,13,1587227437382,DUO_CARRY,BOTTOM
90,KR,4312589554,157,440,13,1587225967367,DUO,NONE
91,KR,4310334236,21,420,13,1587164475245,DUO_CARRY,BOTTOM
92,KR,4310342564,22,420,13,1587162025316,DUO_CARRY,BOTTOM
93,KR,4310410435,110,420,13,1587159805784,SOLO,BOTTOM
94,KR,4310329130,22,420,13,1587158399693,DUO_SUPPORT,NONE
95,KR,4310325093,22,420,13,1587153229478,DUO_CARRY,BOTTOM
96,KR,4310273241,145,420,13,1587150635046,DUO_CARRY,BOTTOM
97,KR,4310250119,236,420,13,1587148515875,DUO_CARRY,BOTTOM
98,KR,4310195691,81,420,13,1587146483338,DUO_CARRY,BOTTOM
99,KR,4310150533,22,420,13,1587144097219,DUO_CARRY,BOTTOM
0,KR,4398897517,104,420,13,1590145521300,NONE,JUNGLE
1,KR,4398811784,516,420,13,1590143326349,SOLO,TOP
2,KR,4398776789,254,420,13,1590141776501,NONE,JUNGLE
3,KR,4398781599,254,420,13,1590139876187,NONE,JUNGLE
4,KR,4398677375,81,420,13,1590138303239,DUO_SUPPORT,NONE
5,KR,4398683820,350,420,13,1590136921336,DUO_SUPPORT,NONE
6,KR,4398607731,99,420,13,1590134765926,DUO_SUPPORT,BOTTOM
7,KR,4398593109,350,420,13,1590133007914,DUO_SUPPORT,BOTTOM
8,KR,4398227289,67,420,13,1590130926198,SOLO,MID
9,KR,4398161440,67,420,13,1590128537328,DUO_CARRY,BOTTOM
10,KR,4398087883,89,420,13,1590127272139,DUO_SUPPORT,NONE
11,KR,4398091474,81,420,13,1590124868914,DUO_CARRY,BOTTOM
12,KR,4397937579,51,420,13,1590122858572,DUO_CARRY,BOTTOM
13,KR,4398001128,235,420,13,1590120432149,DUO_SUPPORT,BOTTOM
14,KR,4397907438,145,420,13,1590118720648,DUO_CARRY,BOTTOM
15,KR,4397884640,145,420,13,1590117146295,DUO,NONE
16,KR,4397860074,81,420,13,1590114694737,DUO_CARRY,BOTTOM
17,KR,4397766151,89,420,13,1590112445880,DUO_SUPPORT,BOTTOM
18,KR,4397733045,245,420,13,1590110319859,NONE,JUNGLE
19,KR,4397397546,18,420,13,1590076341992,DUO_CARRY,BOTTOM
20,KR,4397382715,14,900,13,1590074584354,DUO,NONE
21,KR,4397151066,240,900,13,1590068364423,SOLO,TOP
22,KR,4397017661,154,900,13,1590067346173,DUO_SUPPORT,NONE
23,KR,4397032589,106,900,13,1590066142436,DUO_SUPPORT,NONE
24,KR,4397005682,57,900,13,1590064457278,NONE,JUNGLE
25,KR,4396779870,14,900,13,1590062759614,DUO,BOTTOM
26,KR,4396170064,89,420,13,1590044981461,SOLO,BOTTOM
27,KR,4396074119,11,420,13,1590042598452,NONE,JUNGLE
28,KR,4395986620,105,900,13,1590039527498,DUO_SUPPORT,NONE
29,KR,4396004352,222,900,13,1590038632659,DUO,NONE
30,KR,4394130188,99,420,13,1589961821348,DUO_SUPPORT,BOTTOM
31,KR,4394095888,101,420,13,1589960283231,DUO_SUPPORT,NONE
32,KR,4393979054,104,420,13,1589957765228,NONE,JUNGLE
33,KR,4393952654,350,420,13,1589955388219,DUO_SUPPORT,BOTTOM
34,KR,4393875838,61,420,13,1589952768226,SOLO,MID
35,KR,4393739714,81,420,13,1589950200967,DUO_CARRY,BOTTOM
