,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4397554495,266,900,13,1590085146577,DUO_SUPPORT,NONE
1,KR,4397522773,202,440,13,1590083659530,DUO_CARRY,BOTTOM
2,KR,4397458100,245,440,13,1590080903976,NONE,JUNGLE
3,KR,4397442795,157,440,13,1590078332662,DUO,TOP
4,KR,4397346360,429,440,13,1590075820166,DUO_CARRY,BOTTOM
5,KR,4397278320,119,440,13,1590073247912,DUO_CARRY,BOTTOM
6,KR,4396992491,236,440,13,1590063700877,DUO_CARRY,BOTTOM
7,KR,4396715874,4,440,13,1590061621262,SOLO,MID
8,KR,4396518872,89,440,13,1590059751415,DUO_SUPPORT,BOTTOM
9,KR,4396387436,517,900,13,1590055604659,DUO,NONE
10,KR,4394035203,350,900,13,1589959916120,DUO_SUPPORT,NONE
11,KR,4394051359,145,900,13,1589958563672,DUO,NONE
12,KR,4393957441,81,900,13,1589957068594,DUO,NONE
13,KR,4392850387,555,420,13,1589901388477,DUO_SUPPORT,BOTTOM
14,KR,4392820629,875,420,13,1589899170133,DUO_SUPPORT,BOTTOM
15,KR,4385053970,51,420,13,1589637835400,DUO_CARRY,BOTTOM
16,KR,4385016719,523,420,13,1589636596849,DUO_SUPPORT,NONE
17,KR,4380225233,110,420,13,1589479952115,DUO_CARRY,BOTTOM
18,KR,4380142349,81,420,13,1589477554120,DUO_CARRY,BOTTOM
19,KR,4380078422,236,420,13,1589475670302,DUO_CARRY,BOTTOM
20,KR,4338938749,523,420,13,1588091561640,DUO_CARRY,BOTTOM
21,KR,4338914869,110,420,13,1588089509629,DUO_CARRY,BOTTOM
22,KR,4338825147,67,420,13,1588087015082,DUO_CARRY,BOTTOM
23,KR,4335810325,81,430,13,1587989415625,DUO_CARRY,BOTTOM
24,KR,4335644970,142,430,13,1587988166810,DUO_SUPPORT,NONE
25,KR,4335439459,64,430,13,1587986422336,NONE,JUNGLE
26,KR,4335367340,51,420,13,1587983015795,DUO_CARRY,BOTTOM
27,KR,4285484133,81,420,13,1586359111094,DUO_CARRY,BOTTOM
28,KR,4285255702,67,420,13,1586356506423,DUO,MID
29,KR,4283578717,101,420,13,1586318700125,DUO_SUPPORT,BOTTOM
30,KR,4283583874,875,420,13,1586316471323,DUO_SUPPORT,BOTTOM
31,KR,4278339023,81,420,13,1586120037255,DUO_CARRY,BOTTOM
32,KR,4278356784,89,420,13,1586117821495,DUO_SUPPORT,BOTTOM
33,KR,4278385040,875,420,13,1586116605471,DUO_SUPPORT,NONE
34,KR,4278422845,89,420,13,1586115028654,SOLO,BOTTOM
35,KR,4278401526,53,420,13,1586113157271,DUO_SUPPORT,BOTTOM
36,KR,4278327430,875,420,13,1586110700523,DUO_SUPPORT,BOTTOM
37,KR,4278284642,875,420,13,1586108624538,DUO_SUPPORT,BOTTOM
38,KR,4278231030,875,420,13,1586106245330,DUO_SUPPORT,BOTTOM
39,KR,4278223651,12,420,13,1586104171606,DUO_SUPPORT,BOTTOM
40,KR,4278171000,235,420,13,1586102804320,DUO_SUPPORT,NONE
41,KR,4278125208,412,420,13,1586101358401,DUO_SUPPORT,NONE
42,KR,4278041629,875,420,13,1586099758584,DUO_SUPPORT,BOTTOM
43,KR,4277935053,875,420,13,1586097962973,DUO_SUPPORT,BOTTOM
44,KR,4277834075,555,420,13,1586095479536,DUO_SUPPORT,BOTTOM
45,KR,4277736806,875,420,13,1586093829374,DUO_SUPPORT,BOTTOM
46,KR,4276703411,875,420,13,1586075062620,DUO_SUPPORT,BOTTOM
47,KR,4275755339,875,420,13,1586049546204,DUO_SUPPORT,BOTTOM
48,KR,4275713918,875,420,13,1586047860961,DUO_SUPPORT,BOTTOM
49,KR,4275751183,875,420,13,1586046524192,DUO_SUPPORT,NONE
50,KR,4275619049,875,420,13,1586045128667,DUO_SUPPORT,NONE
51,KR,4275636904,80,420,13,1586043014219,DUO_SUPPORT,BOTTOM
52,KR,4275605624,875,420,13,1586041000867,DUO_SUPPORT,BOTTOM
53,KR,4275604448,875,420,13,1586039197907,DUO_SUPPORT,BOTTOM
54,KR,4275535000,875,420,13,1586037818190,DUO_SUPPORT,NONE
55,KR,4275543198,875,420,13,1586035247642,DUO_SUPPORT,BOTTOM
56,KR,4275551403,875,420,13,1586032863035,DUO_SUPPORT,BOTTOM
57,KR,4275400631,516,420,13,1586024995705,DUO_CARRY,TOP
58,KR,4275244522,875,420,13,1586022001211,DUO_SUPPORT,BOTTOM
59,KR,4275209010,516,420,13,1586020444535,DUO_SUPPORT,NONE
60,KR,4272771394,516,420,13,1585957360256,SOLO,TOP
61,KR,4272719070,516,420,13,1585954944247,SOLO,TOP
62,KR,4272708595,516,420,13,1585954325566,DUO,NONE
63,KR,4272638136,516,420,13,1585952241116,SOLO,TOP
64,KR,4272716188,516,420,13,1585950419962,SOLO,TOP
65,KR,4272635383,516,420,13,1585947975131,DUO,TOP
66,KR,4272654111,81,420,13,1585946590950,DUO,NONE
67,KR,4272671845,516,420,13,1585944464985,NONE,JUNGLE
68,KR,4272578050,67,420,13,1585941262830,SOLO,TOP
69,KR,4272613990,81,420,13,1585938861432,DUO_CARRY,BOTTOM
70,KR,4272439728,51,420,13,1585936589055,DUO_CARRY,BOTTOM
71,KR,4269920317,145,420,13,1585858874605,DUO_CARRY,BOTTOM
72,KR,4269799433,22,420,13,1585857324260,DUO_CARRY,BOTTOM
73,KR,4269807722,67,420,13,1585855451360,DUO_CARRY,BOTTOM
74,KR,4269746847,523,420,13,1585854179295,DUO_SUPPORT,NONE
75,KR,4269823553,523,420,13,1585852539260,DUO_CARRY,BOTTOM
76,KR,4269740360,145,420,13,1585849925276,DUO_CARRY,BOTTOM
77,KR,4269645669,429,420,13,1585847738219,DUO_CARRY,BOTTOM
78,KR,4269569327,145,420,13,1585845323228,DUO_CARRY,BOTTOM
79,KR,4269611789,67,420,13,1585843014941,DUO_CARRY,BOTTOM
80,KR,4269465023,523,420,13,1585840847336,DUO_CARRY,BOTTOM
81,KR,4269229969,21,420,13,1585835191608,DUO_CARRY,BOTTOM
82,KR,4269191610,51,420,13,1585833279280,DUO_CARRY,BOTTOM
83,KR,4269003201,67,420,13,1585831350800,DUO_CARRY,BOTTOM
