,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4404104109,76,420,13,1590318674190,NONE,JUNGLE
1,KR,4404005788,64,420,13,1590316367590,NONE,JUNGLE
2,KR,4403908693,76,420,13,1590314308732,NONE,JUNGLE
3,KR,4403872616,2,420,13,1590312422499,NONE,JUNGLE
4,KR,4403753301,64,420,13,1590309922439,NONE,JUNGLE
5,KR,4403464466,11,420,13,1590307594186,NONE,JUNGLE
6,KR,4403295050,60,420,13,1590305054416,NONE,JUNGLE
7,KR,4403187100,64,420,13,1590302918050,NONE,JUNGLE
8,KR,4403120741,64,420,13,1590300848552,NONE,JUNGLE
9,KR,4402350605,154,420,13,1590250700295,SOLO,TOP
10,KR,4402222373,86,420,13,1590248258802,SOLO,TOP
11,KR,4402180747,157,420,13,1590245565782,SOLO,TOP
12,KR,4401939417,122,420,13,1590242594427,SOLO,TOP
13,KR,4401921112,92,420,13,1590240593214,SOLO,TOP
14,KR,4401498384,92,420,13,1590237749503,SOLO,TOP
15,KR,4401472448,24,420,13,1590236201435,DUO_CARRY,TOP
16,KR,4401346133,60,420,13,1590234533211,NONE,JUNGLE
17,KR,4401287651,64,420,13,1590232246215,NONE,JUNGLE
18,KR,4401199940,154,420,13,1590229935521,NONE,JUNGLE
19,KR,4401154972,11,420,13,1590228278107,DUO_SUPPORT,NONE
20,KR,4401077527,412,420,13,1590226046843,DUO_SUPPORT,BOTTOM
21,KR,4401042044,2,420,13,1590224324537,NONE,JUNGLE
22,KR,4400984805,64,420,13,1590222305466,NONE,JUNGLE
23,KR,4400834287,64,420,13,1590219171804,NONE,JUNGLE
24,KR,4400727879,64,420,13,1590217188440,NONE,JUNGLE
25,KR,4400712219,245,420,13,1590215440398,NONE,JUNGLE
26,KR,4400698987,64,420,13,1590214874183,DUO,NONE
27,KR,4400653193,2,420,13,1590212936552,NONE,JUNGLE
28,KR,4400566390,64,420,13,1590210671350,NONE,JUNGLE
29,KR,4400590858,64,420,13,1590208618284,NONE,JUNGLE
30,KR,4400435767,76,420,13,1590206312149,NONE,JUNGLE
31,KR,4400480518,154,420,13,1590204058644,NONE,JUNGLE
32,KR,4400397908,5,420,13,1590202703214,DUO_SUPPORT,NONE
33,KR,4400316027,64,420,13,1590200977500,NONE,JUNGLE
34,KR,4399262800,64,420,13,1590154910036,NONE,JUNGLE
35,KR,4399203905,64,420,13,1590152888963,NONE,JUNGLE
36,KR,4399016992,64,420,13,1590150852472,NONE,JUNGLE
37,KR,4398949534,11,420,13,1590149013535,NONE,JUNGLE
38,KR,4399002010,2,420,13,1590146983710,NONE,JUNGLE
39,KR,4398895147,157,420,13,1590144709828,SOLO,MID
40,KR,4398808133,157,420,13,1590142372851,SOLO,MID
41,KR,4398754280,105,420,13,1590140796920,SOLO,MID
42,KR,4398707851,142,420,13,1590138597388,NONE,JUNGLE
43,KR,4398701367,7,420,13,1590136154135,SOLO,MID
44,KR,4398566542,64,420,13,1590134245674,NONE,JUNGLE
45,KR,4398492651,2,420,13,1590132573954,DUO_SUPPORT,NONE
46,KR,4398157231,64,420,13,1590130628070,NONE,JUNGLE
47,KR,4398130759,59,420,13,1590128127934,NONE,JUNGLE
48,KR,4398033168,64,420,13,1590125190741,NONE,JUNGLE
49,KR,4397997410,64,420,13,1590123136164,NONE,JUNGLE
50,KR,4397992162,64,420,13,1590120861504,NONE,JUNGLE
51,KR,4397878397,11,420,13,1590118919625,NONE,JUNGLE
52,KR,4397894295,11,420,13,1590117165289,NONE,JUNGLE
53,KR,4397890162,154,420,13,1590114972084,NONE,JUNGLE
54,KR,4216873938,154,420,13,1584167700482,NONE,JUNGLE
55,KR,4216786790,64,420,13,1584165421978,NONE,JUNGLE
56,KR,4216821088,875,420,13,1584163554138,DUO_SUPPORT,NONE
57,KR,4215018768,245,420,13,1584099557309,NONE,JUNGLE
58,KR,4214991270,79,420,13,1584097350188,NONE,JUNGLE
59,KR,4214824304,60,420,13,1584095206122,NONE,JUNGLE
60,KR,4214803181,2,420,13,1584094713638,DUO,NONE
61,KR,4214746408,64,420,13,1584092491362,NONE,JUNGLE
62,KR,4214731211,59,420,13,1584090690529,NONE,JUNGLE
63,KR,4214676426,64,420,13,1584089071414,NONE,JUNGLE
64,KR,4214579377,245,420,13,1584086675477,NONE,JUNGLE
65,KR,4214584328,64,420,13,1584085002056,NONE,JUNGLE
66,KR,4214489728,2,420,13,1584083442736,NONE,JUNGLE
67,KR,4214492434,64,420,13,1584080892205,NONE,JUNGLE
68,KR,4214368722,59,420,13,1584079431414,DUO_SUPPORT,NONE
69,KR,4214355259,59,420,13,1584077993746,DUO_SUPPORT,NONE
70,KR,4214281727,64,420,13,1584071956293,NONE,JUNGLE
71,KR,4214218092,64,420,13,1584069861354,NONE,JUNGLE
72,KR,4214165824,64,420,13,1584068161574,NONE,JUNGLE
73,KR,4214242731,64,420,13,1584066514336,NONE,JUNGLE
74,KR,4214190967,2,420,13,1584064810335,NONE,JUNGLE
75,KR,4214138466,64,420,13,1584062704104,NONE,JUNGLE
76,KR,4214146331,76,420,13,1584060665118,NONE,JUNGLE
77,KR,4214075934,64,420,13,1584059407929,DUO_SUPPORT,NONE
78,KR,4214124684,64,420,13,1584058067841,DUO_SUPPORT,NONE
79,KR,4214123407,64,420,13,1584055850604,NONE,JUNGLE
80,KR,4214072725,64,420,13,1584053727571,NONE,JUNGLE
81,KR,4214131365,76,420,13,1584051771068,NONE,JUNGLE
82,KR,4214130229,64,420,13,1584049422389,NONE,JUNGLE
83,KR,4213999253,64,420,13,1584046777381,NONE,JUNGLE
84,KR,4214017922,53,420,13,1584044927292,DUO_SUPPORT,BOTTOM
85,KR,4214005648,76,420,13,1584041742566,NONE,JUNGLE
86,KR,4214023102,64,420,13,1584039426051,NONE,JUNGLE
87,KR,4213819763,245,420,13,1584036582543,NONE,JUNGLE
88,KR,4213757177,64,420,13,1584034878911,NONE,JUNGLE
89,KR,4213803677,64,420,13,1584033079960,DUO_SUPPORT,NONE
90,KR,4213579661,64,420,13,1584031358794,NONE,JUNGLE
91,KR,4213573832,64,420,13,1584028983425,NONE,JUNGLE
92,KR,4213456578,154,420,13,1584026439765,NONE,JUNGLE
93,KR,4213460982,64,420,13,1584024855356,DUO_SUPPORT,NONE
94,KR,4213395073,64,420,13,1584023281907,DUO_SUPPORT,NONE
95,KR,4213248379,64,420,13,1584021475798,NONE,JUNGLE
96,KR,4213208631,5,420,13,1584019358003,NONE,JUNGLE
97,KR,4213136107,64,420,13,1584016551550,NONE,JUNGLE
98,KR,4212902682,86,420,13,1584010544845,DUO_SUPPORT,NONE
99,KR,4212794327,122,420,13,1584007776667,NONE,JUNGLE
0,KR,4404094108,79,420,13,1590318622121,NONE,JUNGLE
1,KR,4403988739,421,420,13,1590317101885,NONE,JUNGLE
2,KR,4403952952,141,420,13,1590315354508,NONE,JUNGLE
3,KR,4403706131,79,420,13,1590310537436,DUO_SUPPORT,NONE
4,KR,4403417406,141,420,13,1590308208112,NONE,JUNGLE
5,KR,4403360960,421,420,13,1590306395905,NONE,JUNGLE
6,KR,4403240894,60,420,13,1590303846517,NONE,JUNGLE
7,KR,4403160986,60,420,13,1590301111580,NONE,JUNGLE
8,KR,4403017667,421,420,13,1590299862962,DUO_SUPPORT,NONE
9,KR,4402859077,421,420,13,1590293808819,NONE,JUNGLE
10,KR,4401297043,60,420,13,1590232129859,NONE,JUNGLE
11,KR,4401232773,60,420,13,1590230541786,DUO,NONE
12,KR,4401176028,421,420,13,1590228672536,NONE,JUNGLE
13,KR,4401182920,421,420,13,1590227692738,DUO,NONE
14,KR,4401067026,79,420,13,1590225893321,NONE,JUNGLE
15,KR,4401071166,79,420,13,1590224144374,NONE,JUNGLE
16,KR,4400943773,79,420,13,1590221935985,NONE,JUNGLE
17,KR,4399517898,421,420,13,1590163318340,NONE,JUNGLE
18,KR,4399439731,421,420,13,1590161311757,DUO_SUPPORT,NONE
19,KR,4398779540,48,420,13,1590142756590,DUO_SUPPORT,NONE
20,KR,4398698609,59,420,13,1590138841415,NONE,JUNGLE
21,KR,4398053511,60,420,13,1590125503144,NONE,JUNGLE
22,KR,4397977012,104,420,13,1590122800403,NONE,JUNGLE
23,KR,4397932907,80,420,13,1590120795602,NONE,JUNGLE
24,KR,4397849007,163,420,13,1590119135313,NONE,JUNGLE
25,KR,4397060987,60,420,13,1590065911861,NONE,JUNGLE
26,KR,4396955049,141,420,13,1590064231810,NONE,JUNGLE
27,KR,4396749599,64,420,13,1590062711214,DUO_SUPPORT,NONE
28,KR,4396714115,203,420,13,1590061105764,DUO_SUPPORT,TOP
29,KR,4396438276,104,420,13,1590059332149,NONE,JUNGLE
30,KR,4396379036,203,420,13,1590056292397,NONE,JUNGLE
31,KR,4396353803,76,420,13,1590054192668,NONE,JUNGLE
32,KR,4396277910,104,420,13,1590051958988,NONE,JUNGLE
33,KR,4396212664,245,420,13,1590049740898,NONE,JUNGLE
34,KR,4396126458,104,420,13,1590047358368,DUO_SUPPORT,NONE
35,KR,4396069273,236,900,13,1590044562691,SOLO,MID
0,KR,4377874236,2,420,13,1589409740011,SOLO,TOP
1,KR,4377843342,266,420,13,1589407564721,SOLO,TOP
2,KR,4377891604,84,420,13,1589404384590,SOLO,TOP
3,KR,4377860613,555,420,13,1589402165793,DUO_SUPPORT,BOTTOM
4,KR,4377779056,84,420,13,1589399716381,SOLO,TOP
5,KR,4377777856,517,420,13,1589398162822,DUO,TOP
6,KR,4377815516,517,420,13,1589395847008,SOLO,TOP
7,KR,4377753705,57,420,13,1589393929998,SOLO,TOP
8,KR,4377731576,84,420,13,1589392256010,SOLO,TOP
9,KR,4377678017,64,420,13,1589390228743,NONE,JUNGLE
10,KR,4377673541,59,420,13,1589387989239,NONE,JUNGLE
11,KR,4377569457,84,420,13,1589386201178,SOLO,TOP
12,KR,4377574473,126,420,13,1589384432566,SOLO,TOP
13,KR,4377512226,82,420,13,1589380709059,SOLO,TOP
14,KR,4377403786,84,420,13,1589378490317,SOLO,TOP
15,KR,4377236782,84,420,13,1589376593695,DUO,NONE
16,KR,4377198857,58,420,13,1589374668140,SOLO,TOP
17,KR,4377119593,266,420,13,1589372267475,SOLO,TOP
18,KR,4377093871,84,420,13,1589370664352,DUO_SUPPORT,NONE
19,KR,4376688662,126,420,13,1589369132616,DUO_SUPPORT,NONE
20,KR,4376702921,58,420,13,1589367361286,SOLO,TOP
21,KR,4376558384,80,420,13,1589365704290,DUO_SUPPORT,NONE
22,KR,4376611196,266,420,13,1589363189657,SOLO,TOP
23,KR,4376522178,266,420,13,1589359805565,SOLO,TOP
24,KR,4376377217,126,420,13,1589357885633,SOLO,TOP
25,KR,4376421193,84,420,13,1589355759518,DUO,MID
26,KR,4376306681,84,420,13,1589354039028,SOLO,TOP
27,KR,4376242203,517,420,13,1589352345907,SOLO,MID
28,KR,4376188496,84,420,13,1589351029161,DUO_SUPPORT,NONE
29,KR,4376132081,266,420,13,1589348596469,SOLO,TOP
30,KR,4376075411,86,420,13,1589346017765,SOLO,TOP
31,KR,4376091284,164,420,13,1589344335210,SOLO,TOP
32,KR,4375322677,110,420,13,1589305467952,DUO_CARRY,BOTTOM
33,KR,4375228512,266,420,13,1589303029501,DUO,TOP
34,KR,4375166923,17,420,13,1589301263197,SOLO,TOP
35,KR,4375133558,266,420,13,1589299714896,SOLO,TOP
36,KR,4374962968,81,440,13,1589293451257,DUO_CARRY,BOTTOM
37,KR,4374915631,238,440,13,1589291954839,DUO,NONE
38,KR,4374807081,39,440,13,1589289830533,SOLO,MID
39,KR,4374751163,82,420,13,1589288131396,DUO_SUPPORT,NONE
40,KR,4374604223,266,420,13,1589286296340,SOLO,TOP
41,KR,4374299243,266,420,13,1589284629647,DUO,MID
42,KR,4374135147,62,450,13,1589277390025,DUO_SUPPORT,NONE
43,KR,4374111854,10,450,13,1589276065365,DUO_SUPPORT,NONE
44,KR,4373996768,126,420,13,1589274146618,SOLO,TOP
45,KR,4373991898,517,420,13,1589272294811,DUO_SUPPORT,NONE
46,KR,4373848736,126,420,13,1589270592781,SOLO,TOP
