,Unnamed: 0,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries,account_id
0,0,99d2fe0e-ee4d-41dc-bf90-547ab3f96e18,RANKED_SOLO_5x5,GOLD,III,dNLqowwa-9GmDAySwJiegyIw5TOO7YgMysG0ig2R9Km5ZO8,쾌 류,32,5,6,False,False,False,False,,RD0Yc7m6eLuzWv02L_IbK0J33m80ir3tqhZFIzhEmThd
1,1,8895373e-06b8-4711-be75-c817f275c843,RANKED_SOLO_5x5,GOLD,III,CWgx2Ejc8nG8WYPy1Pn4F46MBQxN8UshhNw7Hib7J57Fm7A,크흠이,22,22,26,False,False,False,False,,b8F-ZcINj_vfopQ5l6rsq5a4aa6Ieg4qiAu4roADi8wi
2,2,fe90745d-c0c4-4d6f-ac9e-722eb3890576,RANKED_SOLO_5x5,GOLD,III,pcoo1U6HymUf_eiKCXZRKy56csQo9prBjpaGygNRan0LLtQ,동꼬호츄,93,175,170,False,False,False,False,,N7Q2l0Lr2OzLuolTuuG5YNaMhpHdI62uoN63ezzfZHiR
3,3,83003b39-4670-4933-9223-ddfbb65c1f58,RANKED_SOLO_5x5,GOLD,III,zq7HOlOiRzGlXlnAbRdQvqVcrSiwY7xds-78V3CIPJKt-yw,성 밍,0,8,13,False,False,False,False,,J23M-BLDoJCgF-_r9m6MmMkvMVlx45TewE4egNfeoxks
4,4,5efe3875-79a9-4dbe-ac3b-d964f9af0106,RANKED_SOLO_5x5,GOLD,III,qzpG2Fmatr_zH3ZzdscogNGCEY5bZ80v1_U_1dSK1CKlJ5w,기도메타탑솔러,76,152,160,False,False,False,False,,cfo8gCccx1LBlovDaDvV74_5LUxY7NZcs1N0HOjRNK2-
5,5,86ad9969-bc6b-450a-89e6-3e6fc919b808,RANKED_SOLO_5x5,GOLD,III,aknevFPn_Oa6-zzNYuWf7S5ETbUXybqBMmB-PEGmgdTcm70,블루내꺼다안준다,53,217,226,False,False,False,False,,E9YmiR59qyohXA4pXuXM_-Vw-51CF5ZcW2cIxk-wED3v
6,6,64669f53-8810-4223-837e-24b3763c4ae6,RANKED_SOLO_5x5,GOLD,III,L6WrDqJFTrjTv9-5i3YNH9iGmpWw8XvtGD3PGsReA6wiY84,컬컬보이,37,89,107,False,False,False,True,,CZ0raUv1izrO3Ah347iKHAR33I5BeRE8-1EtYjHesaZP
7,7,d05db772-9ed6-434a-8b55-6b1f6bdacd9f,RANKED_SOLO_5x5,GOLD,III,Ludh-iH6Y57TwLkVpUYPiigQ1orC5Oo7YwheQqYlNnGJy8M,공770,44,53,47,False,False,False,False,,a3bQTEyuf1ZfLq9WREEQksziYfgqNc8LB-yLAbpL67Ej
8,8,cdfb0536-42a8-4d21-844a-ac25b71809a6,RANKED_SOLO_5x5,GOLD,III,BAk7lh5aW1IIleKE7rWEg9mV2MpVQy_9XSym5jG2zDN_4FQ,000229,0,108,108,False,False,False,False,,dUHIIGFSIw5Nmt6gMCF8NTxnQi5rEAtt7sz-eNPZkSbT
9,9,12b1e486-aefb-41b0-80ed-2e80c0103a44,RANKED_SOLO_5x5,GOLD,III,732XiVrdLP87WFpfmJbRktU0QEUroYHmgpL15MvkmtxDoX8,고석근,47,8,2,False,False,True,False,,TRXEPDSdMSA7IhEIbfh592gUTAQ6X7MOEdXfks1e7QwQ
