,Unnamed: 0,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries,account_id
0,0,9552548e-25bb-4a5a-a779-d58e94385d3f,RANKED_SOLO_5x5,GOLD,II,wg-Ez5a7sDXLt0sWzgtjzswaqD2oBzDbuZbv4rj_9ASusw4,Telpo,35,22,14,False,False,False,False,,Rx1KnYwa-ddGKkdhycF-TWtTIsYc0Sb8lrwY5SRqUYKK
1,1,03bd71fe-8b85-431b-a9c3-26beed5bbc7c,RANKED_SOLO_5x5,GOLD,II,kjsWWVzWwutX9HzWx4PvRLRa-nDMOmy55otgPQv8ojYUUSE,오뜨존맛,23,8,10,False,False,False,False,,AT2fq2kmKvjwtnNSfLUbmlGHZ5wV4D2H0tUUfELBZQvs
2,2,f65846b2-0e35-4a94-856f-399efda2ff3f,RANKED_SOLO_5x5,GOLD,II,VDuAVXTnCgVDe4K5xJGXDyTr4URGGkc-MHwWX1qXkYjRYXo,강원도감자칩,19,42,39,False,False,False,False,,cknYpOzGvO2qxHzeWh9AVYoZsaTcm3Q2x0kXjS127k5b
3,3,8d71d3c4-2c93-4a41-852a-aebd6ca4b47e,RANKED_SOLO_5x5,GOLD,II,58i-weKXwYwEvOY_4aSS6bU6kC-t5oMdpqMSsH7HABDQOfM,1도마도재배자,36,239,230,False,False,False,False,,OMTp8F6F6jSorEPVC5AdR8UYymlGxUf6qFDIUjOdkdgH
4,4,fe008f89-0da1-4a5d-8a25-15bcb862f346,RANKED_SOLO_5x5,GOLD,II,PAsN0TM_X_vt3lya9QSvPWHXQl-hqZuF9AjLTMWQFIM0LjI,라이즈는정복자지,59,21,18,False,False,False,False,,-dcmS8gGJ0TRcZ56-0UUp-0rcwoGksGInwhQsPYuSN86
5,5,ce25db3a-4dac-4ba1-bf6d-68e504e7814b,RANKED_SOLO_5x5,GOLD,II,-eAPvrJj5_IyeIDakiOcZkBRCyiSkwlpM48z4xuRH4CdqTo,택배는한진,0,46,34,False,False,False,False,,N9hYoMLU_fkzBdIO6z2ZOW4VjWVGJI0Fw1b9IBPivwn2
6,6,fb23fda6-854f-4e56-b869-7a7b8a04ec16,RANKED_SOLO_5x5,GOLD,II,sOtDwS_XdIm1OO98t1fkKqWFgr0wk9DBfQIpvSRkS2AO5Bc,2532,0,3,11,False,False,False,False,,v-vWkotzFrqfxiwwrTa3Gn7yDY7P3Jv7R-xAXlIaDPgk
7,7,30214e59-a1ac-44c5-b9f6-2c20098b325a,RANKED_SOLO_5x5,GOLD,II,BjUX-a4e3sBC2EKpiA3OSZQxcNhtquj-Q7Tcrql45yc1tLQ,눈춰링,46,31,17,False,False,False,False,,EHAlcAKLKTlnpaSLHTPVbSq2XWs98TIDb0i6MbPMGIFb
8,8,ef5a6750-e576-4f50-9eb5-9db3ea318f34,RANKED_SOLO_5x5,GOLD,II,A-kCmR3ReOx_kMlWb9SBewxxV7eJ2EqVYrBtEbl4s8lR0Vo,롤좀 안하고싶다,0,99,113,False,False,False,False,,denWi016Z05cJGi6qkRXDKMYmCu4Q6Ec0HLArZYQM35F
9,9,edb05c47-e75b-4883-be25-6016bfb3b6d2,RANKED_SOLO_5x5,GOLD,II,Dw7Ic_61IvVgSUqnnbKZe1fzWuMBxaPmoLNAaLPp0EQQagY,King of the dead,39,124,127,False,False,False,False,,LR_NKA4koYYmJe4CCulU0bC_xRHPjejxeWad_G7Y9SLP
10,10,29a7a76a-934f-4446-b73c-d33f362fb8fa,RANKED_SOLO_5x5,GOLD,II,bcb0UXChHYQjhB6kx0Ig_DEjkoZj3Dh2XnKEtGA895eSbyA,꿀벌찬,35,20,17,False,False,False,False,,eHxwAzP3Jk7W2j15L3NF01vggE7PuSIYy-mcizqCJtBV
11,11,de39dfb4-8b55-4708-9727-88bdb6e230ad,RANKED_SOLO_5x5,GOLD,II,s5etKfs8k2-A4n-gWHqbEiywn3YFUnnTn2AinURjavI3nM8,애비 파라무그손,68,46,41,False,False,False,False,,FeXtLdOrPsXpv3qBLaIVQmyiCZEFytTIszxdmDcnKM0j
12,12,e08233af-8499-4874-96c5-07a22bb9095d,RANKED_SOLO_5x5,GOLD,II,P01T1mnTS1pOzZJNtD4_rmYfQTLh8jqYhKP-b7dQXb7hRX0,매봉 인싸,55,1,9,False,False,False,False,,hFIhUJ8IYz_ZLNvi51fiAAWgicutmHmjLRFGZac0_U0D
13,13,94dcb4fa-49bb-4814-968c-71573182893a,RANKED_SOLO_5x5,GOLD,II,emciO6rBH7Qi-qUo-W8Xw5qvWxA27uqMMhdt3IHUM5nkLW0,전쪽제비,53,183,172,False,False,False,False,,-QnVQroLtsZUypSolb2O-EP0rRmcgUnsU5GvR-2n-0Gx
14,14,1623cf8c-829d-465f-8a40-09a473b8c689,RANKED_SOLO_5x5,GOLD,II,z9pGZ1LHaIdiLYvA-xsZlnNPd5VSUFY7OOOg6ndPEgLwY5w,호 향,58,59,63,False,False,False,False,,c4ar2VHK6wE6Rni7RXiecbYilJ5LiMmAZRPXZoMrTE5k
