,Unnamed: 0,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries,account_id
0,0,1aa0e9aa-8670-4405-8ce4-30a36116d1f7,RANKED_SOLO_5x5,PLATINUM,IV,qi43jPAxoRmt-A3_F6tkAEC0yTDlDvPPnk7lycVA4GenE68,착 한 폭 력,66,85,68,False,False,False,False,,oqZ8cqmruyaV_LA71gJx5ifRaXdlg6_0Lbn3_gwNJ8rN
1,1,10b453c3-c070-4c04-8b40-b5f86c29e565,RANKED_SOLO_5x5,PLATINUM,IV,pNjdN_SpZkZBhpKPk5y_q5QpZ36cQUZSl4R9SvZI862HWGw,      이남주,0,29,23,False,False,False,False,,FOgcvAAi81BH1NW1nHF4bbfP7rij1mlr36vIqEsp2w3_
2,2,72372341-453c-4c79-8f9a-e5edd133701f,RANKED_SOLO_5x5,PLATINUM,IV,t_V268PRS7L0vW11ieFRhi-himejHUDYBsRvnGdKTr4Mkps,갓다운,0,68,66,False,False,True,False,,rc7r6GzafpMCGLEYx75J_Fn_naSR5FALUb5FqESsgRxj
3,3,e400ae1a-4125-4aca-b280-1496e5e4f95d,RANKED_SOLO_5x5,PLATINUM,IV,5VVVQfC9ht1HcqHrjI_DxHvQI2AMxJov606YIdTjKJMCkG4,정상에 올라서다,100,20,24,False,False,False,True,"{'target': 2, 'wins': 1, 'losses': 0, 'progress': 'WNN'}",
4,4,63a1800f-467b-40ac-9411-d09b1ef9b8c2,RANKED_SOLO_5x5,PLATINUM,IV,2sB21UWeq2YhvFZGfqNVI6tUCUHD_6H-Cn_oQJrV0bjX-3E,히키코모리 씅이,18,108,118,False,False,False,False,,E0Lm0EQgsP8lMy-26uRsGbn6YDknaMdcP8UUDT8IhS5T
5,5,31adedff-626d-4ac3-a9b0-72d79025d005,RANKED_SOLO_5x5,PLATINUM,IV,nRXc1ul7m5Lsf3SsbgqU42pnescxMtizslzlK48QQTnSkto,개로스인생,0,157,141,False,False,False,False,,F6k3TdxyGMR5qGA6sMKFD3q6OoW4fBJo5G6Pw8_CTYgZ
6,6,3e77ab1c-b9f8-4179-8444-3e8d52c7b5dd,RANKED_SOLO_5x5,PLATINUM,IV,jq7qDtEF19Lff4AZBmHL3S6pzCSQIDp3ZCFVb_Nsj5D-qDc,Oreps,82,209,205,False,False,False,True,,N4f_CPpteUcOzLtoOGzm6Z359dlkb4ARpgJNgEb5Qbd4
7,7,29669eaa-b1ad-4c8a-83e7-59882814529a,RANKED_SOLO_5x5,PLATINUM,IV,FeM6EPpScCsn279wjHPNonH05Go0rKH9rAkdpgvWmO8mxbo,용대야오디갈래,16,129,111,False,False,False,False,,sy9J6UcCW8e7UNol85-UQc1Ehgv3iHgio72p2_R4pdRO
8,8,898d0c8e-15c4-4b2a-aac3-c64d873fb23c,RANKED_SOLO_5x5,PLATINUM,IV,npjfirmdNU4q81y8WSTr4c8efBdNGwI6moeoWOImGIs45rM,우르프ridcr,0,99,92,False,False,False,False,,rJtYMsWNHdPD2MZSJwfd3RK5DJE3dT2bWqydhwzdO2Lg
9,9,6f92d58d-2721-4aed-a802-cb112ececcde,RANKED_SOLO_5x5,PLATINUM,IV,TWUwt3Qjvppe_Nb1bOi7ytAoS53ntXqRhr0jB0AYVQ_R570,일본빡빡이,33,209,220,False,False,False,False,,mxrLD31X2ObWHCjpS_gKuMQQcQZ_vRgBzc0kw-_J-dFy
