,Unnamed: 0,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries,account_id
0,0,bcfffacb-e9b5-4439-8ccc-801959caf352,RANKED_SOLO_5x5,PLATINUM,I,j6BHChx4fQ2WCvgWwO_5R6iPEOwdTKMApChgwXzReWIy-40,Madkiting,75,181,156,False,False,False,False,,vOEDjPj5RSQx6cy39IPv5ikiWOEeWDNhxuqPw3EJpmfj
1,1,ea7b201d-85d1-43b8-b4d9-e6ca277627ba,RANKED_SOLO_5x5,PLATINUM,I,5xT8xwW6GOXui1X1sIglNiiGqrvn71wE6iA6E1D8LCC7kks,방파이트,75,23,27,False,False,False,False,,ZhP6wRisRxXWeRtB_SArUhpwg9T63g8Of-G6keefvXcr
2,2,a763dadf-dae3-41d1-ab0e-ecb104eb7b5e,RANKED_SOLO_5x5,PLATINUM,I,346FhLOiBvIMgOvrDNSIeq2jThw1K4RFIHtWs-VUOdBbP8Y,나비찡,56,99,92,False,False,False,False,,d7qNkkAW-P-0RVYW929nWnicujnDTXt5czEoyjrfOIYI
3,3,bc37336e-2263-448e-848c-3f985f153ede,RANKED_SOLO_5x5,PLATINUM,I,gYNs36tE1C3JzwYKlqjeoZO53QBt5_YMPX6FrPnOA3ScMhU,난 패배를 몰라,20,54,60,False,False,False,False,,VXobzXXGnuAKFSPO-3_PBjL3oxRNxFCw1hjQLym3t1BB
4,4,2b8426cb-0ae7-4366-81a4-d6599e87441e,RANKED_SOLO_5x5,PLATINUM,I,xMuwmb5NrnK1QxOf1MKl5b0CF9o1Cpd6XQC5UNiRau97VqY,아늑한 밤,66,53,49,False,False,False,False,,e2tkp9bZMpit1V_1xp5Ddz2CS7XW7GckldFo4KwHCoA9
5,5,1592951e-913c-4cfc-8ab0-16529e4552bb,RANKED_SOLO_5x5,PLATINUM,I,Q0HVbJHIPQgp67Z8BicEtk0g5xBWXZwBSTBdXMUVw5_VZJk,노롱가,0,42,34,False,False,False,False,,AJHLnjfPnc_vLM9q6tymv184zeV026M3QXJI67220h6H
6,6,29300a09-f57e-4ec9-b422-2e07f9ae4c46,RANKED_SOLO_5x5,PLATINUM,I,w_m_f_S3I4tR_TW_ROxhWURiMnl6S3WS9O9VWggKmq2fPn4,적이랑싸워제발,75,127,119,False,False,False,False,,wNozfWVrcbSZ-vpcn2uGpO8wbnIg3pIFd1QovOXZoNUf
7,7,7b97b196-6cbc-4e6e-b6a8-db303f22d6e4,RANKED_SOLO_5x5,PLATINUM,I,Q3q-NEyRlXsMfn6Y_gNt7aSs_IGXznUOqLh3wvaGxDVyYrE,조이치킨,17,109,98,False,False,False,False,,40jyo13NV53udxTQGR9fyZmeD8OYUdIIDfxlb-gYkyju
8,8,5de5b0a8-6eac-42ae-ab65-128040636dbf,RANKED_SOLO_5x5,PLATINUM,I,PhI_CL7xHhpO2gNqh6towsquY8XzIZJOSz1JWvfgxP2eoHU,도레미파솥라시도,59,29,21,False,False,False,False,,dzj5kgc3-gzrUAfmzYnBKo3SQmeU4BQsgEHcQE0_4o6L
9,9,d45936d6-df38-426a-90b4-f9e815a6023f,RANKED_SOLO_5x5,PLATINUM,I,1N_Z1gb3RP-IZRkQ8RLojabPDkcRnO6QKPzIfrYGA4W_bSA,JangInho,64,23,24,False,False,False,False,,Idxii8i6i5ptQbk3xxhwrhnsGuxkmzZGNFS-7dj8y5-e
10,10,d2d18a7a-cae0-4d4e-bdcf-3c388a34e9a5,RANKED_SOLO_5x5,PLATINUM,I,E7GUcgUZlaDF_LSvX9PgGyGliPLjQFki761DHRLh1AVGh2g,Respeeeeeect,0,131,129,False,False,False,False,,Z6eot2J7OghUYiCdMc1-07TsPKOPn2nfsvmHdb5lxsH-
11,11,eca2ae9d-9df1-456d-8ef0-658c281ba056,RANKED_SOLO_5x5,PLATINUM,I,HoVpM-kCfDLtI3Y53MIBpdAAO38X6wyxk9nqlnw2axEDnio,스무살 그 하루,54,70,82,False,False,False,False,,45eooYeU6TiWH93FsnFDIrVtNKGf92pXlL5zo3PYJoem
12,12,8520f971-b5d6-40e2-b66e-dea2477e6719,RANKED_SOLO_5x5,PLATINUM,I,YiXoAuPkgWFkY0-ORagp0oGM3k1rZ14pPC4vP7tpersGlMs,aiai,100,49,13,False,False,False,False,"{'target': 3, 'wins': 0, 'losses': 1, 'progress': 'LNNNN'}",utnGrIvxBiIpJ3oHam2jq_miaAtwCenz_VFfantYkcyF
13,13,642c6b57-dc86-4fc7-ab2d-ecdd5ca893b6,RANKED_SOLO_5x5,PLATINUM,I,C7uVfrxr_j_oILwBGA2avbXk6XN8TkMAmOgs3FWEg7OSHwQ,백도만하는사람,100,70,75,False,False,False,False,"{'target': 3, 'wins': 2, 'losses': 1, 'progress': 'WLWNN'}",_KcprpP5ncO7yyfblXlqkrEeYjbmGZyCdf-hlepCLRsq
14,14,f54ed73d-376a-4bf8-a8fd-51b5bf4f5f3c,RANKED_SOLO_5x5,PLATINUM,I,BZxwYaV8oPj09rbralIJDgUvUs8phblytSv1mE8v9ADIsHw,Be your   fan,97,26,20,False,False,False,False,,kr4JPn3ONgxR4BsVhsIfc9lXF26GGMj5aYUHJZCQISg7
15,15,f0a81d30-6a28-479d-a946-22abd28a0689,RANKED_SOLO_5x5,PLATINUM,I,nT7E0oTY0iZu5hbnnqyiLS71UeBLkLIyFYDnzXPvHb4GFJE,맵 봄,75,187,156,False,False,False,False,,h1F2czXvl3a7QbbUkJ-fUy1_D9Fg-KtwoAvNTsTBALq-
16,16,bfe13cb9-1f52-4435-bae9-defdebfbcc37,RANKED_SOLO_5x5,PLATINUM,I,o7NK5no-WYSMyKwNdLUNiF9oxuSMXFTTYUbjIRDmyqb2jN4,Alef,50,19,11,False,False,False,False,,78sukwfVHoaftO7q8-AOiZvipME1hIIPw3V_QBIWTCIL
17,17,77989ed3-a78a-411d-bb25-05a445396df0,RANKED_SOLO_5x5,PLATINUM,I,rfshxjT2Dzlx0aU2bBuvdxTuP3kQDd-F2uNPQ91sYqb_Hlg,바위게수호자초초,18,95,87,False,False,False,False,,qGr99PHefDBQNOTqxJ2fM4v6muovltKOLSWRUT4MDB_E
18,18,9d7ccb7e-8786-4496-8a51-c6f4adc89936,RANKED_SOLO_5x5,PLATINUM,I,ie6sfD37Eirwgip0qQdVDqMOmlH-LrzSSusgcrWp54i7lf8,아침형인간,100,60,48,False,False,False,False,"{'target': 3, 'wins': 1, 'losses': 1, 'progress': 'WLNNN'}",Sk157xKPw09atXVJIpxiK95MFY4yQTtmOUltsU__Kikh
19,19,a46985ae-db85-4e7f-b8d4-b43ef45f9cae,RANKED_SOLO_5x5,PLATINUM,I,XTM9n5YAMoeZ2-yEF6-4xNC3nCOKoXlqe4zgegeiLwE20eU,dfdfrt,17,9,22,False,False,False,False,,oVNAOyJxpcy32698N9La-0Eyw0hzHT1Ph45MjsbMu1d3
20,20,50f6ed81-cc88-433a-9125-ac3579185556,RANKED_SOLO_5x5,PLATINUM,I,WlStfjqzc-EhZ8CzuHSl7OowV82JmfRREMs8PBHsWieeJ88,고먐미는먀오먀오,70,43,47,False,False,False,False,,4_k0UxNpEC6D9AcYraTwsFkUNGw7aoi6xPlKu0oMouTt
21,21,b6f2e8a2-4bad-44c4-a740-e22f3f9b308b,RANKED_SOLO_5x5,PLATINUM,I,syDVyPVcMyzqMwrXbpKtlEFMqq371-mLlL-LujFhDIGs5PI,Tenic,0,36,24,False,False,False,False,,r-Y1rxYcZGRzBHwkB6O1HJ9u5EUWlcc3NluyfSqUuC-H
22,22,27556223-13cd-4a0c-9a93-83090064dd35,RANKED_SOLO_5x5,PLATINUM,I,90E1pGLpsTSS4E7BHg5bC5xT0CSz41lbuury5LH3_KVHt0Q,탈주쌉가능,0,57,46,False,False,False,False,,Mzc7FItHA8rt9nrwPZ06gp1I0EjHzqCMib-J8WnzWvUb
23,23,71ba8418-892e-46be-a98d-a54e4d38016d,RANKED_SOLO_5x5,PLATINUM,I,9Fg7Yu1d7k6dnrJ7nCesdsuY2L_XtfSkEOx4A5xTsW4fb0o,민간인 이동규,21,122,138,False,False,False,False,,hkKuFxwKlU3tFc0Vz6uK_iqa_HZ7iv8SGrNzLvCeg4Va
24,24,7fc2807d-fd51-4f91-81e2-c53b8056404b,RANKED_SOLO_5x5,PLATINUM,I,GsO20o66jC0bRPywAXRiPkfYZ9PSokhWitdCCbU0rHdX07I,지후니와떠염,75,117,121,False,False,False,False,,MCxWIfhwq2ZvckHwZJq5Y3WEwBa_4Fbj3sX4KYPiFnbc
